theta_ext,prev_resp_ext,bias_ext,theta_int,prev_resp_int,bias_int,AA,AB,BA,BB
1.0900850873478836,0.19525657846881134,-0.43879534187967323,1.00927991946612,-0.015299663146525127,0.775316383551513,-0.027180382733554203,-3.6188191982571056,-3.7561035900227164,-0.023652160407247852
1.090144330329835,0.19404469197291624,-0.44052256464644196,1.009770580662736,-0.015200856299450649,0.7759819136357582,-0.0238777531667536,-3.746723203945964,-3.6098404816625194,-0.027428919403661527
1.0895013637065656,0.19643374322650853,-0.4315779647707967,1.0085427825932796,-0.0166401082427301,0.7776048761932913,-0.026898119017949317,-3.629117833292948,-3.752850593943236,-0.023730147725270507
1.0899452852598661,0.19599147314621496,-0.4369104977542049,1.0091013463073053,-0.01568114531049398,0.77580169797801,-0.027113389675834203,-3.6212536534997226,-3.7542157012245263,-0.023697389011459083
1.0893746410175587,0.19439351394813068,-0.42796165682903103,1.0092987474451995,-0.02045702392039301,0.7895439941923427,-0.02443664456424809,-3.7238648880654983,-3.6209411918162364,-0.027121978845895657
1.089467545854493,0.19672288852034012,-0.4310875130223691,1.0087080347542807,-0.016949414709094533,0.7787445289898485,-0.02372194678791989,-3.7531921609196917,-3.6299410014201734,-0.02687568635690633
1.0901770228353849,0.19401916490788584,-0.44046408805349596,1.0097655677670963,-0.015299761393567186,0.7762364528585936,-0.023897328212116823,-3.7459134857053047,-3.6094681874884107,-0.027439274347802727
1.0898686780639688,0.19633288797165704,-0.4360761877296111,1.0089724931499258,-0.01568203155342357,0.7755772814556564,-0.027071244090202326,-3.6227883048690095,-3.755027767600403,-0.023677923426551964
1.0894906434339282,0.19648033037983662,-0.4314990825157814,1.008531715452209,-0.01662513624894945,0.7775410271377025,-0.023728077066116234,-3.7529368251022155,-3.629209523832473,-0.026895619363761995
1.0897247910397618,0.1962168592744658,-0.42917173596178054,1.0074578552894575,-0.018493534021431918,0.7816683008679775,-0.0239116794161877,-3.7453202770452902,-3.6305919021675983,-0.026857961685058253
