stim*contrast_ext,previous_ext,bias_ext,stim*contrast_int,previous_int,bias_int,AA,AB,BA,BB
5.074681800545483,2.9947049248909368,1.9538752729262117,3.054078527798706,5.053712765614777,1.995824103255876,-0.11044747247166238,-2.2579307443464356,-2.211259973981473,-0.11604238151613433
5.064756761012644,2.994520455753549,1.9503363689393152,3.0529032025689196,5.056815564749815,1.9982342452269737,-0.11620319501605314,-2.209953967307156,-2.260443326665148,-0.11015447015643882
5.051113201492829,2.9936507215750288,1.9446842609262232,3.0511349575619304,5.0603430693319025,2.001390923875111,-0.10942708092647449,-2.2667115408206837,-2.212898865143232,-0.11584091211614804
5.0699809606109385,2.9946516480999237,1.9506004521657387,3.051437777066489,5.050130559520804,1.9956377032596169,-0.11541949010187812,-2.2163367850172984,-2.2625417191879267,-0.10991039725501006
5.063437035824419,2.994645893603584,1.9515051618953705,3.0525418487618903,5.05575417210842,1.9978952428996046,-0.1156105145868557,-2.2147767815942356,-2.2636466627583194,-0.10978210618637539
5.07082602855,2.994937557575542,1.9544391716908334,3.054066322114644,5.054289235152376,1.9960778730768203,-0.11034789564908762,-2.2587838547919583,-2.211062479191659,-0.11606668465495078
5.070937902662173,2.9949487030849022,1.9547297583140542,3.055258147162357,5.058030331486348,1.9973464993081134,-0.11621412295871526,-2.209865288225907,-2.2583288049834387,-0.11040099820217238
5.067546724434242,2.9946833566029034,1.9518694494168765,3.0526870088468865,5.053525988761538,1.9964329028692116,-0.10992362636494807,-2.2624278571552647,-2.2151244749798424,-0.115567910098654
5.064459294619636,2.9940733326725377,1.9485898385784413,3.051041989426611,5.051856323694525,1.9968595476462292,-0.11545086214602054,-2.2160803973576013,-2.264108076762422,-0.109728579856576
5.070026502331464,2.9948169200686303,1.9522057908292407,3.052173596527577,5.050813141930096,1.9953010869175647,-0.10990560722231903,-2.262582950236087,-2.216482197012598,-0.11540170124637575
