response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
1,0,2,0,-10.0,1,0,0.9767680207948636,0.023231979205099867,1,0,1,1
0,1,-1,2,,1,3,0.9858128187147313,0.014187181285309594,1,0,1,1
1,-1,1,0,-2.0,1,-1,0.9901065662235584,0.009893433776480396,1,0,1,1
0,1,-1,1,,1,2,0.9916798328383173,0.008320167161736464,1,0,1,1
0,-1,-1,0,,1,-1,0.9912766369772069,0.00872336302284332,1,1,1,1
1,-1,1,0,0.0,1,-1,0.9939680796464512,0.0060319203536017335,1,0,1,1
0,1,-1,1,,1,2,0.9951114185555634,0.004888581444440591,1,0,1,1
1,-1,1,0,3.0,1,-1,0.9952473536716975,0.004752646328346351,1,0,1,1
0,1,-1,1,,1,2,0.9944401704940626,0.005559829505889082,1,0,1,1
0,-1,-1,0,,1,-1,0.9923081415106517,0.0076918584893396385,1,1,1,1
1,-1,1,0,-2.0,1,-1,0.9932111171304124,0.0067888828695388355,1,0,1,1
0,1,-1,1,,1,2,0.9925591687383811,0.0074408312616309515,1,0,1,1
1,-1,2,0,-10.0,1,-1,0.990043981388295,0.009956018611667925,1,0,1,1
0,1,-1,2,,1,3,0.9870005838032473,0.012999416196706874,1,0,1,1
0,-1,-1,0,,1,-1,0.9800192388441678,0.01998076115585753,1,1,1,1
0,-1,-1,0,,1,-1,0.9767064266364651,0.0232935733635361,1,1,1,1
1,-1,1,0,0.0,1,-1,0.9769790815266995,0.023020918473306014,1,0,1,1
1,1,1,1,-2.0,1,2,0.9723842840502549,0.02761571594972888,1,0,1,1
1,1,1,1,-3.0,1,2,0.9715123470977187,0.028487652902236968,1,0,1,1
0,1,-1,1,,1,2,0.9743414076693668,0.025658592330687173,1,0,1,1
0,-1,-1,0,,1,-1,0.9720583688191893,0.027941631180844625,1,1,1,1
1,-1,2,0,10.0,1,-1,0.973458970408382,0.02654102959165017,1,0,1,1
1,1,1,2,1.0,1,3,0.972906982582225,0.02709301741777943,1,0,1,1
1,1,1,1,1.0,1,2,0.9760284923478826,0.02397150765211901,1,0,1,1
0,1,-1,1,,1,2,0.9829017686299265,0.017098231370106316,1,0,1,1
1,-1,1,0,3.0,1,-1,0.985289002636871,0.01471099736317537,1,0,1,1
1,1,1,1,2.0,1,2,0.9843191486433011,0.01568085135672544,1,0,1,1
0,1,-1,1,,1,2,0.9867017718798069,0.01329822812020439,1,0,1,1
0,-1,-1,0,,1,-1,0.9859917768471969,0.014008223152822739,1,1,1,1
1,-1,2,0,10.0,1,-1,0.9885810890913997,0.011418910908648116,1,0,1,1
0,1,-1,2,,1,3,0.9905345315731745,0.009465468426804473,1,0,1,1
1,-1,1,0,3.0,1,-1,0.9902181992482958,0.009781800751743551,1,0,1,1
1,1,1,1,-2.0,1,2,0.9874824944108787,0.01251750558917602,1,0,1,1
0,1,-1,1,,1,2,0.9879957297696484,0.012004270230337807,1,0,1,1
1,-1,1,0,1.0,1,-1,0.9856735473850456,0.014326452614908499,1,0,1,1
1,1,1,1,3.0,1,2,0.9794177567480354,0.020582243252009958,1,0,1,1
1,1,1,1,0.0,1,2,0.9767993150447328,0.023200684955251544,1,0,1,1
1,1,1,1,2.0,1,2,0.977752567309765,0.022247432690200655,1,0,1,1
0,1,-1,1,,1,2,0.9823014154480937,0.017698584551927306,1,0,1,1
1,-1,1,0,0.0,1,-1,0.9827611610918457,0.017238838908173425,1,0,1,1
1,1,2,1,-10.0,1,2,0.9793492239864022,0.020650776013643683,1,0,1,1
1,1,1,2,3.0,1,3,0.9783294829692154,0.021670517030838814,1,0,1,1
1,1,1,1,-1.0,1,2,0.9808401139607025,0.01915988603930907,1,0,1,1
0,1,-1,1,,1,2,0.9869440686741312,0.013055931325811992,1,0,1,1
1,-1,1,0,3.0,1,-1,0.9893462815000534,0.010653718499909658,1,0,1,1
0,1,-1,1,,1,2,0.9891827903929313,0.010817209607040744,1,0,1,1
1,-1,1,0,3.0,1,-1,0.9863762782638055,0.013623721736239682,1,0,1,1
