contrast_ext,previous_response_ext,contrast_int,previous_response_int,AA,AB,BA,BB
1.1978914580752695,0.04296051989083916,0.9994645789122479,1.4116758784421422,-0.02250356960683282,-3.805312017611552,-3.0716901573404924,-0.04745096147375461
1.1983429718254133,0.042921620247271516,0.999158630915403,1.4107929639100927,-0.022540891872714935,-3.803673478243933,-3.0692475876585603,-0.047569809748035936
1.1982891981926236,0.04368493847035508,0.9989579236747917,1.4108258315663031,-0.02249250281618826,-3.8057984052691785,-3.0701221123324878,-0.04752722295395545
1.1977608490509493,0.043125885984556245,0.9988490360316566,1.4101485089258927,-0.04750575722397078,-3.070563217744371,-3.8051979400578446,-0.022506166013407297
1.1982278918274378,0.04289188044230161,0.9989652624612005,1.409974483276173,-0.022524485704437963,-3.804393411215717,-3.070577271916519,-0.04750507346207523
1.1984534202147221,0.04334141944483622,0.9988184203482243,1.4101760104548868,-0.04750468148742442,-3.070585328731503,-3.805177250534101,-0.02250663693968459
1.197919330652087,0.04273083398264558,0.9988264929233361,1.4096116391386906,-0.047490819293772524,-3.0708703019811483,-3.8043824229702095,-0.02252473601892716
1.1979118503188637,0.04354185634302012,0.9994252196487317,1.4120219879415292,-0.047422711081731656,-3.072271680851722,-3.807093221147959,-0.022463068658448732
1.1985151742759024,0.04169143986113853,0.9992307669133751,1.409774605215802,-0.022608230090828275,-3.8007240936508992,-3.069108366349555,-0.047576593023169134
1.197684479579457,0.04401996814774371,0.9996165751889404,1.4129319898902586,-0.02244947301016274,-3.8076918764792316,-3.0713810943473843,-0.04746598275533396
