,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
8433,0,1,-1,2,,4,3,0.406568251500802,0.5934317484991656,1,0,1,2
8434,1,-1,1,0,-3.0,4,-1,0.3859309570239349,0.6140690429761084,1,0,1,2
8435,1,1,-1,1,,4,2,0.3319595279066413,0.6680404720934617,0,0,0,2
8436,1,1,1,0,3.0,4,1,0.3180489541444125,0.6819510458556903,1,0,1,2
8437,0,1,-1,1,,4,2,0.3081066499086681,0.6918933500913734,1,0,1,2
8438,1,-1,1,0,-2.0,4,-1,0.2713649617873022,0.7286350382127738,1,0,1,2
8439,1,1,-1,1,,4,2,0.1904482635367509,0.8095517364633223,0,0,0,2
8440,1,1,1,0,0.0,4,1,0.1606750145669344,0.8393249854329689,1,0,1,2
8441,1,1,1,1,-2.0,4,2,0.1347101495443297,0.8652898504556734,1,0,1,2
8442,1,1,-1,1,,4,2,0.1119026238737321,0.8880973761263031,0,0,0,2
8443,1,1,2,0,10.0,4,1,0.109566742445188,0.8904332575547881,1,0,1,2
8444,1,1,-1,2,,4,3,0.1060463359593799,0.8939536640407074,0,0,0,2
8445,1,1,-1,0,,4,1,0.1203697285601295,0.8796302714398709,0,0,0,2
8446,1,1,1,0,-3.0,4,1,0.1649283469062946,0.8350716530938161,1,0,1,2
8447,0,1,-1,1,,4,2,0.2156880594767183,0.7843119405231814,1,0,1,2
8448,0,-1,1,0,0.0,4,-1,0.2355856996387068,0.7644143003613232,0,1,0,2
8449,1,-1,2,1,10.0,4,0,0.2976517578278472,0.7023482421722557,1,0,1,2
8450,1,1,1,2,1.0,4,3,0.3367594257079352,0.663240574292025,1,0,1,2
8451,1,1,1,1,-1.0,4,2,0.3827290187956665,0.6172709812043026,1,0,1,2
8452,1,1,1,1,-2.0,4,2,0.4367131814469453,0.5632868185529492,1,0,1,2
8453,0,1,1,1,0.0,4,2,0.5000655158195983,0.4999344841803815,0,0,0,1
8454,0,-1,1,1,0.0,4,0,0.5126546386276096,0.4873453613723231,0,1,0,1
8455,1,-1,1,1,0.0,4,0,0.5671934203103521,0.4328065796896458,1,0,1,1
8456,1,1,2,1,10.0,4,2,0.5886158783087692,0.4113841216912711,1,0,1,1
8457,0,1,-1,2,,4,3,0.6114766589317742,0.3885233410682115,1,0,1,1
8458,1,-1,1,0,-3.0,4,-1,0.611380799975605,0.388619200024494,1,0,1,1
8459,1,1,-1,1,,4,2,0.5882829684822232,0.4117170315176978,0,0,0,1
8460,1,1,-1,0,,4,1,0.5966731930238762,0.403326806976208,0,0,0,1
8461,1,1,-1,0,,4,1,0.6438100089874237,0.3561899910124784,0,0,0,1
8462,0,1,-1,0,,4,1,0.7704723305748347,0.2295276694250577,1,0,1,1
8463,1,-1,-1,0,,4,-1,0.8338939979963049,0.1661060020036262,0,0,0,1
8464,1,1,2,0,-10.0,4,1,0.8519248069752577,0.1480751930247221,1,0,1,1
8465,1,1,1,2,-2.0,4,3,0.8723272735356451,0.1276727264643781,1,0,1,1
8466,1,1,1,1,3.0,4,2,0.8990358803157178,0.1009641196841747,1,0,1,1
8467,0,1,-1,1,,4,2,0.9327203205369082,0.0672796794632007,1,0,1,1
8468,1,-1,1,0,1.0,4,-1,0.9486226021265908,0.0513773978733793,1,0,1,1
8469,1,1,2,1,-10.0,4,2,0.9542631226351562,0.0457368773649424,1,0,1,1
8470,0,1,-1,2,,4,3,0.9623366597000024,0.0376633402999276,1,0,1,1
8471,0,-1,-1,0,,4,-1,0.9632947839880424,0.0367052160120174,1,1,1,1
8472,1,-1,-1,0,,4,-1,0.9681665733682226,0.0318334266318569,0,0,0,1
8473,1,1,-1,0,,4,1,0.9625270959766276,0.0374729040234008,0,0,0,1
8474,1,1,1,0,0.0,4,1,0.97075800970435,0.0292419902956652,1,0,1,1
8475,0,1,1,1,0.0,4,2,0.9832800262393016,0.016719973760713,0,0,0,1
8476,1,-1,1,1,-1.0,4,0,0.9862075556403078,0.0137924443596581,1,0,1,1
8477,1,1,2,1,10.0,4,2,0.9859058309235208,0.0140941690765067,1,0,1,1
8478,0,1,-1,2,,4,3,0.987977302455284,0.0120226975448208,1,0,1,1
8479,0,-1,-1,0,,4,-1,0.987225544115318,0.012774455884747,1,1,1,1
8480,1,-1,1,0,-1.0,4,-1,0.9897277818312026,0.0102722181687621,1,0,1,1
8481,0,1,1,1,-1.0,4,2,0.9897344785834384,0.0102655214165102,0,0,0,1
8482,1,-1,1,1,3.0,4,0,0.984241371037944,0.0157586289620961,1,0,1,1
8483,0,1,-1,1,,4,2,0.9730651999647384,0.0269348000353459,1,0,1,1
8484,1,-1,-1,0,,4,-1,0.9509206074682756,0.0490793925316923,0,0,0,1
8485,0,1,1,0,-2.0,4,1,0.8873908447879277,0.1126091552120352,0,0,0,1
8486,0,-1,1,1,-1.0,4,0,0.7088285870149748,0.2911714129850024,0,1,0,1
8487,1,-1,2,1,10.0,4,0,0.6392779267707013,0.3607220732293955,1,0,1,1
8488,0,1,-1,2,,4,3,0.5360354210077904,0.4639645789923116,1,0,1,1
8489,0,-1,-1,0,,4,-1,0.3304439112252285,0.6695560887747879,1,1,1,2
8490,0,-1,1,0,-2.0,4,-1,0.1519541972184188,0.8480458027816847,0,1,0,2
8491,0,-1,1,1,-1.0,4,0,0.0796957600066862,0.9203042399932372,0,1,0,2
8492,0,-1,1,1,-1.0,4,0,0.0511565153274757,0.9488434846725692,0,1,0,2
8493,0,-1,-1,1,,4,0,0.041646645118992,0.9583533548809702,1,1,1,2
8494,0,-1,1,0,0.0,4,-1,0.0324320631633259,0.9675679368365826,0,1,0,2
8495,1,-1,1,1,3.0,4,0,0.0327271041197696,0.9672728958803268,1,0,1,2
8496,1,1,-1,1,,4,2,0.0221591283294367,0.9778408716704692,0,0,0,2
8497,1,1,-1,0,,4,1,0.020027023302964,0.9799729766970487,0,0,0,2
8498,0,1,-1,0,,4,1,0.0244862663213829,0.9755137336785914,1,0,1,2
8499,0,-1,-1,0,,4,-1,0.0197664363590742,0.9802335636409264,1,1,1,2
8500,0,-1,-1,0,,4,-1,0.0144233744212849,0.985576625578784,1,1,1,2
8501,0,-1,1,0,-1.0,4,-1,0.0083231082499854,0.9916768917499368,0,1,0,2
8502,0,-1,1,1,-2.0,4,0,0.0065585051929735,0.9934414948070568,0,1,0,2
8503,0,-1,-1,1,,4,0,0.0076029751488456,0.9923970248511652,1,1,1,2
8504,0,-1,-1,0,,4,-1,0.0072880929194717,0.9927119070804457,1,1,1,2
8505,0,-1,1,0,0.0,4,-1,0.0056059631287984,0.9943940368711256,0,1,0,2
8506,0,-1,1,1,2.0,4,0,0.0063609419159487,0.9936390580840244,0,1,0,2
8507,0,-1,-1,1,,4,0,0.0102061751193939,0.98979382488071,1,1,1,2
8508,0,-1,-1,0,,4,-1,0.0129417875000144,0.9870582125000786,1,1,1,2
8509,0,-1,-1,0,,4,-1,0.0146363719680186,0.9853636280319268,1,1,1,2
8510,0,-1,-1,0,,4,-1,0.0153324186367998,0.9846675813631776,1,1,1,2
8511,0,-1,-1,0,,4,-1,0.0150473802226082,0.9849526197774936,1,1,1,2
8512,0,-1,1,0,-3.0,4,-1,0.0137741096550061,0.9862258903450204,0,1,0,2
8513,0,-1,-1,1,,4,0,0.0176331594597434,0.9823668405402908,1,1,1,2
8514,0,-1,1,0,-1.0,4,-1,0.0206986691314562,0.9793013308685572,0,1,0,2
8515,0,-1,-1,1,,4,0,0.0324170339976153,0.9675829660024876,1,1,1,2
8516,0,-1,1,0,2.0,4,-1,0.0444549863951087,0.955545013604977,0,1,0,2
8517,1,-1,1,1,0.0,4,0,0.0772238102791239,0.9227761897209544,1,0,1,2
8518,1,1,2,1,10.0,4,2,0.0891823331030057,0.9108176668970976,1,0,1,2
8519,1,1,-1,2,,4,3,0.0998941990838658,0.9001058009161926,0,0,0,2
8520,0,1,-1,0,,4,1,0.135839114674561,0.8641608853254739,1,0,1,2
8521,0,-1,1,0,3.0,4,-1,0.148070105174165,0.8519298948258797,0,1,0,2
8522,1,-1,1,1,-2.0,4,0,0.1905696082252938,0.8094303917746125,1,0,1,2
8523,1,1,1,1,1.0,4,2,0.205790306508537,0.7942096934914453,1,0,1,2
8524,1,1,-1,1,,4,2,0.2242642131970383,0.7757357868030549,0,0,0,2
8525,1,1,1,0,1.0,4,1,0.283002755456815,0.7169972445431578,1,0,1,2
