contrast,previous_response
-1.0473601458519068,-0.47676581380625443
-1.047568459132578,-0.47691243123111593
-1.0475809293464204,-0.4769195680317037
-1.0473527190150271,-0.4768125915567471
-1.0475776375768027,-0.4769159892444913
-1.0475815041125995,-0.4769199805440085
-1.0475584740697812,-0.4768960438751972
-1.0475805792554134,-0.47691901882634147
-1.0475508838751213,-0.47688750879460656
-1.047575784544705,-0.4769140974881968
-1.0475819616808946,-0.4769204299020056
-1.0471016022335091,-0.4765676878496872
-1.0475693836003819,-0.47690743568510546
-1.0471847854291234,-0.4766285636039788
-1.0475810453325598,-0.4769194460104312
-1.0475501223911914,-0.47688988486830003
-1.0475734971667365,-0.4769176183937597
-1.0475814466904765,-0.4769200174084956
-1.0475807607379268,-0.4769194602037074
-1.0475818595824402,-0.47692033626441843
-1.0475716914071438,-0.47691014788464536
-1.0475813678244672,-0.47691986161163324
-1.0475812779932676,-0.4769197333187115
-1.0475815820979433,-0.4769200825789317
-1.0470984665810847,-0.47663196959728416
-1.0473405847380655,-0.47680020785043553
-1.0474981919066986,-0.4769366041437986
-1.0475805478639948,-0.4769192658589156
-1.0475801302180237,-0.47691845252364606
-1.047581966568219,-0.4769204228168052
-1.0474388161274333,-0.4769405213629383
-1.0472762247481238,-0.4766381594546792
-1.0472946175685176,-0.47661398321724835
-1.0475312541879231,-0.47686826849917663
-1.0472192610098796,-0.47655532597554073
-1.047323869384395,-0.47678130705716665
-1.0473650438084292,-0.47679545731321193
-1.047252328764637,-0.47662677530697817
-1.0475817044300626,-0.47692016685713884
-1.047576559495403,-0.47691460976302297
-1.047503994172349,-0.47690492971643506
-1.04755735808337,-0.4768978632999006
-1.047581966989707,-0.47692043307672755
-1.0475806262425433,-0.4769190161888163
-1.047576937632145,-0.47691796904134676
-1.0475764730328059,-0.47691469277398507
-1.047581879672945,-0.4769203328715238
-1.0473599457347051,-0.4768059470215538
-1.0475816592990566,-0.4769201028724699
-1.047580769169328,-0.4769194655258779
-1.0471897871205065,-0.47659474001957347
-1.0475772291351884,-0.47691812285707424
-1.0475814727779016,-0.4769199621043229
-1.0473225366896917,-0.4767781353106534
-1.0475818764378757,-0.47692033050177984
-1.0475764769610498,-0.4769146506620554
-1.0475808395127084,-0.47692081915621004
-1.047134922404209,-0.4766579398464428
-1.0474741835067622,-0.4768715949309479
-1.0475755059839733,-0.47691742334927556
-1.0474897244342938,-0.47687148401660634
-1.0472351708294243,-0.4766431349992592
-1.0475819214602415,-0.47692039028886024
-1.0475808901281158,-0.47691969419478963
-1.0475818407916537,-0.47692028474382214
-1.0475699197954182,-0.47690819992941624
-1.0475772275913016,-0.47691544958733106
-1.0474296290825371,-0.47678051232580776
-1.0475817847026911,-0.47692024321959636
-1.0475459820665165,-0.4768907557607695
-1.0475683199109829,-0.47690759855142784
-1.0475536851750775,-0.4769033298627094
-1.0472496884896405,-0.476721914244477
-1.0475336422434618,-0.4769016865461908
-1.047545547734375,-0.47688233527075147
-1.0475810680884152,-0.47691949522241545
-1.0475807350116115,-0.4769191843045774
-1.0475776107947676,-0.4769159699628233
-1.047317113897496,-0.47667591121101827
-1.0474349099699194,-0.4768408859848824
-1.0475816760603616,-0.47692016218249433
-1.0475816498724158,-0.4769200790889534
-1.0474375352393945,-0.476788546492007
-1.0475630558952225,-0.4769008457964077
-1.0475708944215332,-0.47690882244040395
-1.047559111926077,-0.4769023280916701
-1.047579730699357,-0.47691974858695363
-1.047091969673216,-0.4766235168209772
-1.0473207104573772,-0.47692831193608876
-1.0475805068095967,-0.47691888192513804
-1.047300968852701,-0.476744808959932
-1.0475644064698784,-0.4769137496662736
-1.0475592469369601,-0.47691660999301816
-1.0475661216516843,-0.47692291737431997
-1.0475812444236026,-0.47691963458668424
-1.047579716971674,-0.47692109393705584
-1.0471379461583445,-0.4765811512180756
-1.047572614059685,-0.47691053413498813
-1.0475807199183005,-0.4769191673185509
-1.0473892604683028,-0.4768184152779268
