contrast_ext,previous_response_ext,contrast_int,previous_response_int,AA,AB,BA,BB
1.1592209645287375,0.05009613965425232,0.9998990583474002,1.4943806555977686,-0.0228160790555363,-3.7916761189005634,-3.026312291995502,-0.04970943464273264
1.1589514198780282,0.049910027870345174,0.9998170284576258,1.4939499371130964,-0.02276561975298214,-3.793865001869445,-3.030673086772169,-0.049487692259461175
1.1592596444191516,0.0506951839489703,0.9995932349322086,1.4939314819305496,-0.02277049824890953,-3.793653162566541,-3.0276754624068594,-0.049640009480316286
1.1587839715501376,0.050067453949479875,0.9993163341248388,1.4929427941410007,-0.049607285804407486,-3.0283186730421585,-3.7929915607236633,-0.022785741238608905
1.1595411401790094,0.04992624184608681,0.9993140750698382,1.4925337168732533,-0.022801822291071513,-3.7922940689454805,-3.0285608293886406,-0.049594971704283494
1.1589282339977838,0.0503525987778063,1.000091201457713,1.4950472633563359,-0.04954134700331554,-3.029616076289821,-3.794226156108314,-0.02275730508642549
1.1590609174711584,0.049677211448671245,0.9996602984486315,1.4932502149531706,-0.04944140714828857,-3.031585857951801,-3.7939021011316476,-0.022764765494343978
1.159281418822013,0.05072715313804039,0.9994556698614753,1.4935157562543522,-0.04960509552192625,-3.0283617403649794,-3.794104571201434,-0.022760103929606652
1.159069059924445,0.04903436167568003,0.9995816994909392,1.492568091156787,-0.022853040181213292,-3.7900758802779153,-3.0274769239503208,-0.049650114695926485
1.1587588685802979,0.050791654575854335,1.0002015481897728,1.4956802852134166,-0.022736516675335498,-3.7951297017780803,-3.0293472909476535,-0.049555000280363165
