contrast,previous_response
-1.0162216605829384,-0.4879350900659418
-1.0162161235831717,-0.4879300845802891
-1.016170367558933,-0.48789310309003875
-1.015911322765655,-0.48763683512382516
-1.0162220762093415,-0.4879353210773095
-1.0162214820579893,-0.4879348051046059
-1.0162219447427843,-0.4879352422224254
-1.0161973891368452,-0.48790899517685504
-1.0162079000530695,-0.4879325031103941
-1.0162219570253115,-0.48793521516622035
-1.0160237694795926,-0.4877699808639145
-1.016217662575438,-0.4879313003911707
-1.015985964302849,-0.4877206712232282
-1.015998653999538,-0.48785152840570417
-1.0158640069452376,-0.48755390245454444
-1.016194679759878,-0.48790873263873674
-1.0160392299280645,-0.4877553623366049
-1.0162205228495431,-0.4879345420125011
-1.0160801238240218,-0.48779748236979853
-1.0162217563977636,-0.4879349852325636
-1.0162175732261158,-0.4879331181762222
-1.0162122276072665,-0.48792509252600674
-1.0161154245701192,-0.48782206954460605
-1.0159459031328562,-0.48767586876016145
-1.0160934736835463,-0.48780687001751416
-1.015955118227572,-0.4876652735902281
-1.016220104126576,-0.48793342002863466
-1.0163987609018459,-0.4882550118358265
-1.0162140106909765,-0.4879285016939793
-1.016213464974883,-0.48792731855367805
-1.0162133217532971,-0.4879298587365087
-1.015794590041333,-0.48766048104880233
-1.0161070678024473,-0.4878301428089065
-1.0162219718586696,-0.4879352423317017
-1.016219282473471,-0.4879334394690249
-1.0162205899585974,-0.48793384275915497
-1.0158346711216233,-0.4876569165425858
-1.0163739020033915,-0.48760057960668074
-1.016220742995023,-0.48793426233929865
-1.0162200337972682,-0.48793328457001983
-1.0161790461874218,-0.48789170554381117
-1.0162211333740319,-0.48793440711016467
-1.0162220408503047,-0.4879352414581117
-1.016219237800366,-0.48793300048503463
-1.0161868448927434,-0.4879028528966473
-1.0162163788985743,-0.4879300958452128
-1.0162211390989906,-0.4879344029202315
-1.0162142692362721,-0.4879310026865108
-1.0159984529340902,-0.4877113830847538
-1.0162158714437535,-0.4879294580767281
-1.0162220665938295,-0.48793546000536964
-1.0161620115913033,-0.4878762085298674
-1.0162160028063245,-0.48792976287448375
-1.0162213583314619,-0.4879347097275563
-1.0162181523000162,-0.48793546005489064
-1.0161774368710146,-0.48792096110935707
-1.015922431540859,-0.4876721868216084
-1.016222038796112,-0.48793525999771686
-1.0162046263696678,-0.4879179103177275
-1.0161546997494226,-0.48786974198055677
-1.016221445798597,-0.4879348472677316
-1.0161391250769882,-0.4878613479407725
-1.0162217635385304,-0.4879349655911928
-1.015916235973971,-0.4878047530737863
-1.0161967285098836,-0.4879101120519999
-1.0161900277250944,-0.48791431432686216
-1.016174691852596,-0.4879496132042067
-1.0162217641004454,-0.4879354128604767
-1.0158906972947035,-0.4877932437799599
-1.0161622703323212,-0.4878729588948638
-1.0158864043302678,-0.4877729668465389
-1.0162015840618397,-0.48791921862121906
-1.0160131322652324,-0.487775444387723
-1.0162213142556145,-0.4879347121034813
-1.0162088003822451,-0.487923209925283
-1.016218142296142,-0.4879317206861464
-1.0162209370957471,-0.4879344708690538
-1.0160646839562144,-0.4877871208550388
-1.0162208899419427,-0.4879341647616196
-1.0161154739653326,-0.48788361743948133
-1.0162167666992108,-0.4879300384584265
-1.0162213544666634,-0.48793458926903
-1.0162168480542861,-0.48793205251665717
-1.0162218364124578,-0.4879351372069855
-1.0162175868076249,-0.48793525671820814
-1.0162206441292465,-0.48793511573371795
-1.0162179546854877,-0.4879329862815406
-1.0162219685549634,-0.4879352324090137
-1.0159459704769773,-0.4877001985154969
-1.0162108177289524,-0.4879245820839465
-1.0162213867123082,-0.4879347655857364
-1.0162209825546364,-0.4879341606876548
-1.0162182669477065,-0.4879315421755818
-1.0161959226883264,-0.48791069951773225
-1.0160308928346755,-0.48773317871740474
-1.0160469148210043,-0.4878060975944741
-1.0161019182856335,-0.4878249467948567
-1.0162196358191016,-0.4879337235851396
-1.0162218709904178,-0.48793535905699786
-1.0162206675312695,-0.48793494645691066
