isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
33,1,1,640,64,-45,-1.78318251666699,1,7.73928029998206,0.0265114837675355,0.634251016250346,0.0164746988006836,0
15,1,2,280,28,45,-1.78318251666699,1,1.6585479999776,0.0266219999757595,0.282636700023431,0.0164746988006836,1
17,1,3,320,32,-45,-1.78318251666699,-1,0.658241299970541,0.0269262000219896,0.322740699979477,0.0164746988006836,1
2,1,4,20,2,-45,-1.78318251666699,-1,0.709898899949621,0.0261844000197016,0.0161412000306882,0.0164746988006836,1
3,1,5,40,4,45,-1.78318251666699,-1,0.737456700007897,0.0263359000091441,0.0362877000006847,0.0164746988006836,0
36,1,6,700,70,45,-1.78318251666699,-1,0.780100200034212,0.026977600005921,0.696944100025576,0.0164746988006836,0
40,1,7,780,78,-45,-1.78318251666699,1,1.16382739995606,0.0268867000122555,0.777157599979546,0.0164746988006836,0
35,1,8,680,68,45,-1.78318251666699,1,1.03972519998206,0.0268472000025213,0.677017799986061,0.0164746988006836,1
49,1,9,960,96,45,-1.78318251666699,1,0.615723699971568,0.0270126000395976,0.95701640000334,0.0164746988006836,1
5,1,10,80,8,-45,-1.78318251666699,-1,1.70499650004786,0.0265720999450423,0.0767803000053391,0.0164746988006836,1
23,1,11,440,44,-45,-1.78318251666699,-1,0.847729800036177,0.0269082000013441,0.436984999978449,0.0164746988006836,1
43,1,12,840,84,45,-1.78318251666699,1,1.00734900002135,0.0270036000292748,0.836944099981338,0.0164746988006836,1
39,1,13,760,76,-45,-1.78318251666699,-1,0.655055099981837,0.0270524999941699,0.757306499988772,0.0164746988006836,1
42,1,14,820,82,45,-1.78318251666699,1,2.41947710001841,0.0269480000133626,0.816991899977438,0.0164746988006836,1
7,1,15,120,12,45,-1.78318251666699,1,1.24809670000104,0.0268596999812871,0.116877799970098,0.0164746988006836,1
18,1,16,340,34,45,-1.78318251666699,-1,0.804775199969299,0.0268511000322178,0.336207299958915,0.0164746988006836,0
40,1,17,780,78,45,-1.78318251666699,1,0.761644400015939,0.0268276000279002,0.779554100008681,0.0164746988006836,1
37,1,18,720,72,45,-1.78318251666699,-1,0.583151099970564,0.0269299999927171,0.717070200014859,0.0164746988006836,0
19,1,19,360,36,-45,-1.78318251666699,-1,0.944358600012492,0.0268279999727383,0.356922400009353,0.0164746988006836,1
31,1,20,600,60,45,-1.78318251666699,1,0.64034119999269,0.0268513999762945,0.597045900009107,0.0164746988006836,1
20,1,21,380,38,45,-1.78318251666699,-1,0.875923699990381,0.0269510999787599,0.376955199986696,0.0164746988006836,0
16,1,22,300,30,-45,-1.78318251666699,-1,1.48416430002544,0.026837199984584,0.296823100012261,0.0164746988006836,1
30,1,23,580,58,-45,-1.78318251666699,-1,0.867503199959174,0.027038200001698,0.576944600034039,0.0164746988006836,1
39,1,24,760,76,45,-1.78318251666699,-1,1.85523670003749,0.0270054999855347,0.757203600020148,0.0164746988006836,0
37,1,25,720,72,45,-1.78318251666699,1,2.58203059999505,0.028193200007081,0.71746220003115,0.0164746988006836,1
14,1,26,260,26,-45,-1.78318251666699,-1,0.819737199984957,0.0269652000279166,0.256968599976972,0.0164746988006836,1
10,1,27,180,18,-45,-1.78318251666699,-1,1.17208109999774,0.0269022000138648,0.177056499989703,0.0164746988006836,1
25,1,28,480,48,45,-1.78318251666699,1,1.01696609996725,0.0269012000062503,0.47694700001739,0.0164746988006836,1
44,1,29,860,86,45,-1.78318251666699,1,0.843462600023486,0.0270948000252247,0.857238099968527,0.0164746988006836,1
38,1,30,740,74,-45,-1.78318251666699,-1,0.838149400020484,0.0262560999835841,0.736209700000472,0.0164746988006836,1
19,1,31,360,36,45,-1.78318251666699,-1,1.1365533999633,0.0269150999956764,0.356942699989304,0.0164746988006836,0
50,1,32,980,98,-45,-1.78318251666699,-1,3.31575010000961,0.0269241000059992,0.977087200037204,0.0164746988006836,1
7,1,33,120,12,45,-1.78318251666699,-1,2.7512468000059,0.0267805999610573,0.11696260003373,0.0164746988006836,0
5,1,34,80,8,-45,-1.78318251666699,-1,1.65572569996584,0.0270263999700546,0.0767552999895997,0.0164746988006836,1
32,1,35,620,62,-45,-1.78318251666699,-1,1.11566169996513,0.0269057999830693,0.617119800008368,0.0164746988006836,1
32,1,36,620,62,-45,-1.78318251666699,-1,0.779942799999844,0.0269180000177585,0.616999100020621,0.0164746988006836,1
47,1,37,920,92,45,-1.78318251666699,1,1.4724384000292,0.026961499999743,0.917057099984959,0.0164746988006836,1
15,1,38,280,28,-45,-1.78318251666699,1,1.23133340000641,0.02715649997117,0.277098000049591,0.0164746988006836,0
6,1,39,100,10,-45,-1.78318251666699,1,2.61270030000014,0.0266792000038549,0.0967190000228584,0.0164746988006836,0
45,1,40,880,88,45,-1.78318251666699,1,3.59218919998966,0.0268286999780685,0.876952900027391,0.0164746988006836,1
27,1,41,520,52,-45,-1.78318251666699,-1,1.66370130004361,0.0270079000038095,0.51695339998696,0.0164746988006836,1
