Unnamed: 0,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
2887,1,1,1,1,1.0,11,2,0.9807227956138271,0.01927720438622179,1,1,1,1
2888,0,1,1,1,0.0,11,2,0.9944019058116613,0.005598094188291219,0,0,0,1
2889,0,-1,1,1,2.0,11,0,0.9971306622907382,0.0028693377092185307,0,1,0,1
2890,1,-1,2,1,-10.0,11,0,0.9975966297930572,0.002403370206952879,1,0,1,1
2891,0,1,1,2,2.0,11,3,0.9989087157262273,0.0010912842737539129,0,0,0,1
2892,0,-1,-1,1,,11,0,0.9986510021804745,0.001348997819565966,1,1,1,1
2893,0,-1,1,0,-1.0,11,-1,0.9990732217625552,0.0009267782374044645,0,1,0,1
2894,0,-1,-1,1,,11,0,0.9988795751298141,0.0011204248702404655,1,1,1,1
2895,0,-1,1,0,0.0,11,-1,0.9993921987758342,0.0006078012241748779,0,1,0,1
2896,0,-1,1,1,-3.0,11,0,0.9995530951840532,0.0004469048159442576,0,1,0,1
2897,0,-1,1,1,2.0,11,0,0.999587140194488,0.00041285980547342614,0,1,0,1
2898,0,-1,1,1,0.0,11,0,0.9995419165992172,0.00045808340074018444,0,1,0,1
2899,0,-1,1,1,0.0,11,0,0.9993542179283935,0.0006457820716007373,0,1,0,1
2900,0,-1,-1,1,,11,0,0.9987617083302791,0.001238291669768241,1,1,1,1
2901,0,-1,1,0,-2.0,11,-1,0.9988589203846099,0.001141079615392755,0,1,0,1
2902,0,-1,-1,1,,11,0,0.9981411747575802,0.0018588252424230896,1,1,1,1
2903,0,-1,-1,0,,11,-1,0.9980416502560259,0.0019583497440165713,1,1,1,1
2904,0,-1,1,0,-3.0,11,-1,0.9985566552667013,0.0014433447332858947,0,1,0,1
2905,1,-1,2,1,-10.0,11,0,0.9980630878138587,0.0019369121861630035,1,0,1,1
2906,0,1,-1,2,,11,3,0.9984397740882113,0.0015602259117811525,1,0,1,1
2907,0,-1,1,0,3.0,11,-1,0.999119488325837,0.0008805116741318249,0,1,0,1
2908,0,-1,1,1,-1.0,11,0,0.9991828681627208,0.0008171318373285048,0,1,0,1
2909,0,-1,1,1,1.0,11,0,0.9987184960238176,0.0012815039761841283,0,1,0,1
2910,0,-1,1,1,3.0,11,0,0.9970773451474007,0.0029226548525817203,0,1,0,1
2911,0,-1,-1,1,,11,0,0.9919656714649522,0.00803432853500664,1,1,1,1
2912,1,-1,1,0,1.0,11,-1,0.9865987424398287,0.013401257560219468,1,0,1,1
2913,0,1,-1,1,,11,2,0.9883927964260338,0.011607203573915299,1,0,1,1
2914,1,-1,2,0,-10.0,11,-1,0.9893079262643385,0.010692073735620667,1,0,1,1
2915,0,1,-1,2,,11,3,0.9909124328002025,0.009087567199797112,1,0,1,1
2916,0,-1,-1,0,,11,-1,0.9918463850219258,0.008153614978104342,1,1,1,1
2917,0,-1,-1,0,,11,-1,0.992979258065261,0.0070207419347918295,1,1,1,1
2918,0,-1,1,0,-3.0,11,-1,0.9943530730296509,0.005646926970391788,0,1,0,1
2919,0,-1,-1,1,,11,0,0.9927662366509181,0.007233763349085067,1,1,1,1
2920,0,-1,1,0,0.0,11,-1,0.9913957969565974,0.008604203043366536,0,1,0,1
2921,1,-1,2,1,-10.0,11,0,0.9846158401869287,0.015384159813086606,1,0,1,1
2922,0,1,-1,2,,11,3,0.978293654968965,0.0217063450310501,1,0,1,1
2923,0,-1,-1,0,,11,-1,0.9691986783703578,0.030801321629604028,1,1,1,1
2924,0,-1,-1,0,,11,-1,0.9587055845853885,0.041294415414585846,1,1,1,1
2925,0,-1,-1,0,,11,-1,0.9464251584761534,0.053574841523805566,1,1,1,1
2926,0,-1,-1,0,,11,-1,0.9319018882710656,0.06809811172898524,1,1,1,1
2927,1,-1,1,0,-2.0,11,-1,0.9145970694914344,0.08540293050852647,1,0,1,1
2928,0,1,-1,1,,11,2,0.9148750189315321,0.08512498106843376,1,0,1,1
2929,0,-1,-1,0,,11,-1,0.9113051395244234,0.08869486047557257,1,1,1,1
2930,1,-1,2,0,10.0,11,-1,0.9060402835114817,0.09395971648853964,1,0,1,1
2931,0,1,-1,2,,11,3,0.9007567491632453,0.09924325083670991,1,0,1,1
2932,1,-1,1,0,-1.0,11,-1,0.8905510417033928,0.10944895829659983,1,0,1,1
2933,0,1,-1,1,,11,2,0.8973206477331545,0.10267935226689565,1,0,1,1
2934,0,-1,-1,0,,11,-1,0.8995761361954886,0.10042386380452024,1,1,1,1
2935,0,-1,-1,0,,11,-1,0.9001037102489412,0.0998962897510417,1,1,1,1
2936,1,-1,2,0,10.0,11,-1,0.8989229389369442,0.10107706106301599,1,0,1,1
2937,1,1,1,2,-1.0,11,3,0.8977415793100233,0.10225842068993857,1,1,1,1
2938,1,1,1,1,-3.0,11,2,0.9078016283515149,0.09219837164849957,1,1,1,1
2939,0,1,-1,1,,11,2,0.9346519768358603,0.06534802316414194,1,0,1,1
2940,0,-1,-1,0,,11,-1,0.953101719455482,0.046898280544499724,1,1,1,1
2941,1,-1,2,0,-10.0,11,-1,0.9688073428603655,0.031192657139640572,1,0,1,1
2942,0,1,1,2,2.0,11,3,0.9844161735700773,0.015583826429897241,0,0,0,1
2943,0,-1,-1,1,,11,0,0.9863829695788964,0.013617030421129129,1,1,1,1
2944,0,-1,-1,0,,11,-1,0.9882808213873662,0.011719178612639498,1,1,1,1
2945,0,-1,-1,0,,11,-1,0.9901801250740639,0.009819874925984776,1,1,1,1
2946,0,-1,1,0,-1.0,11,-1,0.9921513305711258,0.007848669428920383,0,1,0,1
2947,0,-1,1,1,-3.0,11,0,0.990457553247283,0.009542446752773173,0,1,0,1
2948,0,-1,1,1,3.0,11,0,0.9827314960149636,0.017268503985091353,0,1,0,1
2949,0,-1,-1,1,,11,0,0.9581748841973073,0.04182511580266963,1,1,1,1
2950,0,-1,1,0,0.0,11,-1,0.9292664054321423,0.07073359456787306,0,1,0,1
2951,1,-1,2,1,10.0,11,0,0.839253917397772,0.16074608260226186,1,0,1,1
2952,0,1,-1,2,,11,3,0.7444089923843464,0.2555910076156951,1,0,1,1
2953,1,-1,1,0,2.0,11,-1,0.6068359831047938,0.39316401689517544,1,0,1,1
2954,1,1,1,1,0.0,11,2,0.5636215571360775,0.4363784428639026,1,1,1,1
2955,0,1,-1,1,,11,2,0.5469874917298938,0.4530125082700766,1,0,1,1
2956,1,-1,1,0,2.0,11,-1,0.5187979327234716,0.4812020672765129,1,0,1,1
2957,1,1,1,1,-3.0,11,2,0.5198126789583416,0.48018732104161527,1,1,1,1
2958,0,1,-1,1,,11,2,0.5387358964010984,0.46126410359886916,1,0,1,1
2959,0,-1,-1,0,,11,-1,0.5479865573085203,0.4520134426914585,1,1,1,1
2960,0,-1,-1,0,,11,-1,0.5529771343066615,0.4470228656933156,1,1,1,1
2961,0,-1,1,0,-3.0,11,-1,0.5538927403998527,0.4461072596001081,0,1,0,1
2962,1,-1,2,1,-10.0,11,0,0.5252318042576152,0.4747681957424048,1,0,1,1
2963,1,1,1,2,-2.0,11,3,0.49444477004214477,0.5055552299578254,1,1,1,2
2964,1,1,1,1,-3.0,11,2,0.4852126451714759,0.514787354828498,1,1,1,2
2965,0,1,-1,1,,11,2,0.4924432027277951,0.5075567972722193,1,0,1,2
2966,1,-1,1,0,-3.0,11,-1,0.4912912504491604,0.5087087495508107,1,0,1,2
2967,1,1,1,1,-2.0,11,2,0.5192057971285622,0.4807942028714268,1,1,1,1
2968,0,1,-1,1,,11,2,0.583045819331307,0.41695418066869905,1,0,1,1
2969,1,-1,1,0,-3.0,11,-1,0.6258590019652374,0.37414099803477296,1,0,1,1
2970,1,1,2,1,10.0,11,2,0.7622308252500555,0.23776917474989653,1,1,1,1
2971,0,1,1,2,-1.0,11,3,0.8947241529605432,0.10527584703947304,0,0,0,1
