isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
27,1,1,520,52,-45,-1.84723196648945,-1,0.521767300000192,0.0482637999998587,0.525745600000391,0.0142156929205026,1
8,1,2,140,14,-45,-1.84723196648945,-1,0.393934700000045,0.0448174376656425,0.137034162334203,0.0142156929205026,1
46,1,3,900,90,45,-1.84723196648945,1,0.468358999999964,0.051339299999654,0.903918500000145,0.0142156929205026,1
1,1,4,0,0,-45,-1.84723196648945,-1,0.49903600000016,0.0430882000000565,0.00177949999988414,0.0142156929205026,1
8,1,5,140,14,45,-1.84723196648945,1,0.42349460000014,0.0452924051983246,0.138759194801423,0.0142156929205026,1
6,1,6,100,10,45,-1.84723196648945,1,0.486860699999852,0.0407243999998173,0.0960068999997929,0.0142156929205026,1
2,1,7,20,2,45,-1.84723196648945,1,0.436635399999886,0.0439696999997068,0.0154685000002246,0.0142156929205026,1
19,1,8,360,36,45,-1.84723196648945,1,0.711712000000261,0.0484106999997493,0.360042400000111,0.0142156929205026,1
26,1,9,500,50,45,-1.84723196648945,1,0.419102000000294,0.0439473090978026,0.497139190902089,0.0142156929205026,1
22,1,10,420,42,45,-1.84723196648945,-1,0.620301200000085,0.0481715999999324,0.419517400000132,0.0142156929205026,0
13,1,11,240,24,-45,-1.84723196648945,1,0.500612799999999,0.044212902599611,0.239435797400347,0.0142156929205026,0
25,1,12,480,48,-45,-1.84723196648945,-1,0.495646400000169,0.0484504999999444,0.480124499999874,0.0142156929205026,1
30,1,13,580,58,45,-1.84723196648945,1,0.418803699999899,0.0440795428644378,0.577262057135613,0.0142156929205026,1
9,1,14,160,16,45,-1.84723196648945,1,0.506675300000097,0.04075899999998,0.156532399999833,0.0142156929205026,1
3,1,15,40,4,-45,-1.84723196648945,-1,0.467079600000034,0.0413973999998234,0.0355655000003026,0.0142156929205026,1
19,1,16,360,36,45,-1.84723196648945,1,0.415477899999587,0.0437047701325355,0.356988329867818,0.0142156929205026,1
4,1,17,60,6,-45,-1.84723196648945,1,0.508540799999992,0.0499133999996957,0.0654297999999471,0.0142156929205026,0
30,1,18,580,58,45,-1.84723196648945,-1,0.465983099999903,0.051263100000142,0.586393999999927,0.0142156929205026,0
35,1,19,680,68,-45,-1.84723196648945,-1,0.451106099999834,0.049320500000249,0.683880399999907,0.0142156929205026,1
4,1,20,60,6,-45,-1.84723196648945,-1,0.444398500000261,0.0502470999999787,0.0655659999997624,0.0142156929205026,1
45,1,21,880,88,45,-1.84723196648945,1,0.489499499999965,0.0409680753309658,0.877326524668661,0.0142156929205026,1
23,1,22,440,44,45,-1.84723196648945,1,0.378419099999974,0.0468495000000075,0.438430300000164,0.0142156929205026,1
41,1,23,800,80,45,-1.84723196648945,-1,0.376531500000056,0.0490592000001016,0.806483300000309,0.0142156929205026,0
45,1,24,880,88,45,-1.84723196648945,1,0.534535600000254,0.0442127363662621,0.877380363634074,0.0142156929205026,1
13,1,25,240,24,45,-1.84723196648945,-1,0.568019600000298,0.0507746999996925,0.245093600000018,0.0142156929205026,0
19,1,26,360,36,-45,-1.84723196648945,-1,0.540712099999837,0.0437850999996954,0.359144400000332,0.0142156929205026,1
40,1,27,780,78,45,-1.84723196648945,1,0.525063999999929,0.0414957090974895,0.777557590902234,0.0142156929205026,1
37,1,28,720,72,-45,-1.84723196648945,-1,0.498846400000275,0.0450356000001193,0.719706899999892,0.0142156929205026,1
48,1,29,940,94,45,-1.84723196648945,1,0.439769099999921,0.0452441000002182,0.939514999999574,0.0142156929205026,1
15,1,30,280,28,45,-1.84723196648945,-1,0.67271269999992,0.0509468000000197,0.283950999999888,0.0142156929205026,0
43,1,31,840,84,45,-1.84723196648945,1,0.446402100000341,0.0445036051987699,0.837211794801533,0.0142156929205026,1
51,1,32,1000,100,-45,-1.84723196648945,-1,0.415909400000146,0.0509185000000798,1.00480629999993,0.0142156929205026,1
49,1,33,960,96,-45,-1.84723196648945,1,0.504715900000065,0.0512395999999171,0.963986700000078,0.0142156929205026,0
37,1,34,720,72,45,-1.84723196648945,1,0.514628599999924,0.0454706999998962,0.719938100000036,0.0142156929205026,1
33,1,35,640,64,45,-1.84723196648945,1,0.491032599999926,0.0509880000004159,0.642217699999946,0.0142156929205026,1
20,1,36,380,38,45,-1.84723196648945,-1,0.559239899999739,0.0493960999997398,0.383107000000109,0.0142156929205026,0
3,1,37,40,4,-45,-1.84723196648945,-1,0.515899899999567,0.0508377000001019,0.0412130999998226,0.0142156929205026,1
4,1,38,60,6,45,-1.84723196648945,1,0.415620799999942,0.050767800000358,0.0617138999996314,0.0142156929205026,1
50,1,39,980,98,45,-1.84723196648945,-1,0.452149799999916,0.0427099701319094,0.977214929867841,0.0142156929205026,0
20,1,40,380,38,45,-1.84723196648945,-1,0.37726930000008,0.0450976337660904,0.377596466233626,0.0142156929205026,0
26,1,41,500,50,45,-1.84723196648945,-1,0.417334600000231,0.0447126701324123,0.497603129867457,0.0142156929205026,0
51,1,42,1000,100,-45,-1.84723196648945,-1,0.627218200000243,0.0496276999997463,1.00349760000017,0.0142156929205026,1
16,1,43,300,30,45,-1.84723196648945,-1,0.479332399999748,0.051081300000078,0.301653199999691,0.0142156929205026,0
12,1,44,220,22,45,-1.84723196648945,1,0.52497429999994,0.041537299999618,0.216822300000331,0.0142156929205026,1
16,1,45,300,30,45,-1.84723196648945,1,0.444447599999876,0.0495495999998639,0.305594600000404,0.0142156929205026,1
5,1,46,80,8,-45,-1.84723196648945,1,0.491129800000181,0.0510527999999795,0.0814940000000206,0.0142156929205026,0
12,1,47,220,22,45,-1.84723196648945,1,0.432678000000124,0.0482566000000588,0.222705000000133,0.0142156929205026,1
44,1,48,860,86,45,-1.84723196648945,1,0.48926530000017,0.0435850363655845,0.859393963634375,0.0142156929205026,1
30,1,49,580,58,-45,-1.84723196648945,-1,0.596642200000133,0.0494752999998127,0.585890700000164,0.0142156929205026,1
25,1,50,480,48,45,-1.84723196648945,-1,0.606589099999837,0.048699100000249,0.480704999999944,0.0142156929205026,0
20,1,51,380,38,45,-1.84723196648945,1,0.480710999999701,0.0497961999999461,0.381494700000076,0.0142156929205026,1
50,1,52,980,98,45,-1.84723196648945,1,0.511137200000121,0.0453491714324628,0.97956602856766,0.0142156929205026,1
35,1,53,680,68,-45,-1.84723196648945,1,0.646569399999862,0.0484453389658484,0.680527461034217,0.0142156929205026,0
43,1,54,840,84,-45,-1.84723196648945,-1,0.659895799999958,0.0496775999999954,0.842383400000017,0.0142156929205026,1
27,1,55,520,52,-45,-1.84723196648945,-1,0.467535700000099,0.0497749999999542,0.522753799999919,0.0142156929205026,1
9,1,56,160,16,45,-1.84723196648945,1,0.551869299999908,0.0434748000002401,0.156611399999747,0.0142156929205026,1
46,1,57,900,90,-45,-1.84723196648945,1,0.514560499999789,0.0439025363657493,0.89720536363393,0.0142156929205026,0
2,1,58,20,2,45,-1.84723196648945,1,0.535341999999673,0.0412244999997711,0.0156172000001789,0.0142156929205026,1
47,1,59,920,92,45,-1.84723196648945,1,0.533723399999872,0.0489996999999676,0.921387200000026,0.0142156929205026,1
11,1,60,200,20,-45,-1.84723196648945,-1,0.433980399999655,0.0499665000002096,0.203730799999903,0.0142156929205026,1
36,1,61,700,70,45,-1.84723196648945,1,0.507573900000352,0.0434648701320839,0.697231729867781,0.0142156929205026,1
38,1,62,740,74,-45,-1.84723196648945,-1,0.610974499999884,0.0436037999998007,0.737334000000374,0.0142156929205026,1
17,1,63,320,32,45,-1.84723196648945,-1,0.628401899999972,0.0445023000002038,0.318759100000079,0.0142156929205026,0
39,1,64,760,76,45,-1.84723196648945,1,0.499263799999881,0.0495012000001225,0.762756999999965,0.0142156929205026,1
2,1,65,20,2,-45,-1.84723196648945,-1,0.506111600000168,0.0501196597347189,0.0199668000000202,0.0142156929205026,1
34,1,66,660,66,-45,-1.84723196648945,-1,0.74613139999974,0.0493069999997715,0.660604800000328,0.0142156929205026,1
14,1,67,260,26,-45,-1.84723196648945,1,0.541024799999832,0.0478441000000203,0.259280199999921,0.0142156929205026,0
50,1,68,980,98,-45,-1.84723196648945,1,0.47143189999997,0.0497083000000202,0.982809500000258,0.0142156929205026,0
31,1,69,600,60,-45,-1.84723196648945,-1,0.448299000000134,0.0497713597346774,0.606054600000334,0.0142156929205026,1
9,1,70,160,16,-45,-1.84723196648945,-1,0.48204080000005,0.0473752688330933,0.158707131166921,0.0142156929205026,1
35,1,71,680,68,-45,-1.84723196648945,-1,0.464115599999786,0.0496356000003289,0.686434599999757,0.0142156929205026,1
11,1,72,200,20,45,-1.84723196648945,-1,0.463372000000163,0.0426718376652389,0.197972562334598,0.0142156929205026,0
3,1,73,40,4,45,-1.84723196648945,-1,0.588260499999706,0.0448581999999078,0.0387159000001702,0.0142156929205026,0
14,1,74,260,26,45,-1.84723196648945,-1,0.79154490000019,0.0505318000000443,0.261859400000048,0.0142156929205026,0
