isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
33,1,1,640,64,-45,-1.76217139591459,1,2.76180520000003,0.0298407083242864,0.639523191675721,0.0172913381551982,0
48,1,2,940,94,45,-1.76217139591459,1,0.626247699999908,0.029912999999965,0.943758900000034,0.0172913381551982,1
39,1,3,760,76,45,-1.76217139591459,1,0.601683900000012,0.0299761999999646,0.760152299999959,0.0172913381551982,1
8,1,4,140,14,45,-1.76217139591459,1,0.723825300000044,0.0300956000000951,0.141927299999907,0.0172913381551982,1
22,1,5,420,42,45,-1.76217139591459,1,0.969438200000013,0.0299310999999989,0.42389860000003,0.0172913381551982,1
12,1,6,220,22,45,-1.76217139591459,1,0.645778800000016,0.0299974000000702,0.219944100000021,0.0172913381551982,1
3,1,7,40,4,45,-1.76217139591459,1,0.698139800000035,0.030061499999988,0.0401333999999451,0.0172913381551982,1
38,1,8,740,74,-45,-1.76217139591459,-1,1.29013050000003,0.0297815999999784,0.744383099999936,0.0172913381551982,1
2,1,9,20,2,45,-1.76217139591459,1,0.508077800000024,0.0299307999999883,0.0221055000000661,0.0172913381551982,1
42,1,10,820,82,45,-1.76217139591459,1,0.445646900000042,0.0300273999999945,0.820148500000073,0.0172913381551982,1
39,1,11,760,76,45,-1.76217139591459,1,0.435528799999929,0.0299452000000429,0.765756099999976,0.0172913381551982,1
25,1,12,480,48,45,-1.76217139591459,1,0.451808299999925,0.0299031494729434,0.478441250527112,0.0172913381551982,1
43,1,13,840,84,45,-1.76217139591459,1,0.485956299999998,0.0299266000000671,0.844545799999992,0.0172913381551982,1
35,1,14,680,68,-45,-1.76217139591459,1,0.649277500000039,0.0300571999999875,0.680262399999947,0.0172913381551982,0
33,1,15,640,64,45,-1.76217139591459,1,0.531635800000004,0.0298853906216436,0.638525609378348,0.0172913381551982,1
49,1,16,960,96,-45,-1.76217139591459,1,0.605340899999987,0.0300088999999844,0.964182999999935,0.0172913381551982,0
8,1,17,140,14,45,-1.76217139591459,1,0.661398100000042,0.0298916000000418,0.140427199999976,0.0172913381551982,1
17,1,18,320,32,45,-1.76217139591459,1,0.623252600000001,0.0299681999999848,0.322372299999984,0.0172913381551982,1
1,1,19,0,0,45,-1.76217139591459,1,0.765650399999913,0.029858900000022,0.00446290000002136,0.0172913381551982,1
18,1,20,340,34,-45,-1.76217139591459,1,0.569183800000019,0.0299173999999311,0.344690700000001,0.0172913381551982,0
41,1,21,800,80,-45,-1.76217139591459,1,0.52945120000004,0.0300813000000062,0.800665299999991,0.0172913381551982,0
37,1,22,720,72,45,-1.76217139591459,1,0.577431299999944,0.0300285000000713,0.720793999999955,0.0172913381551982,1
50,1,23,980,98,-45,-1.76217139591459,1,0.441372699999988,0.0299860000000081,0.984582199999977,0.0172913381551982,0
35,1,24,680,68,-45,-1.76217139591459,1,0.455377999999996,0.0299784999999702,0.682786800000031,0.0172913381551982,0
20,1,25,380,38,-45,-1.76217139591459,1,0.479232200000069,0.0299746000000596,0.386609199999953,0.0172913381551982,0
4,1,26,60,6,-45,-1.76217139591459,1,0.647174800000016,0.0299768999999515,0.0585939000000053,0.0172913381551982,0
28,1,27,540,54,45,-1.76217139591459,1,0.515188999999964,0.0300341999999318,0.542468400000075,0.0172913381551982,1
39,1,28,760,76,-45,-1.76217139591459,1,0.361149999999952,0.0299788000000945,0.760567199999969,0.0172913381551982,0
15,1,29,280,28,45,-1.76217139591459,1,0.569186500000001,0.0299336000000494,0.280962499999987,0.0172913381551982,1
11,1,30,200,20,45,-1.76217139591459,1,0.534977299999923,0.030040299999996,0.202662000000032,0.0172913381551982,1
20,1,31,380,38,45,-1.76217139591459,1,0.613175299999966,0.0299702999999454,0.380798600000048,0.0172913381551982,1
21,1,32,400,40,-45,-1.76217139591459,1,0.561048700000015,0.0299361999999519,0.40083560000005,0.0172913381551982,0
27,1,33,520,52,45,-1.76217139591459,1,1.51077620000001,0.0298882000000731,0.523154299999987,0.0172913381551982,1
4,1,34,60,6,45,-1.76217139591459,1,0.582889000000023,0.0299215000000004,0.0589509999999791,0.0172913381551982,1
27,1,35,520,52,45,-1.76217139591459,1,0.582782299999963,0.029918299999963,0.522874200000047,0.0172913381551982,1
22,1,36,420,42,45,-1.76217139591459,1,0.443006299999979,0.0299847999999656,0.422908100000086,0.0172913381551982,1
40,1,37,780,78,45,-1.76217139591459,1,0.728659099999959,0.0298479000000498,0.777059000000008,0.0172913381551982,1
4,1,38,60,6,45,-1.76217139591459,1,0.624971899999991,0.029932199999962,0.064969499999961,0.0172913381551982,1
10,1,39,180,18,-45,-1.76217139591459,-1,0.540543000000071,0.0299901000000773,0.181291399999964,0.0172913381551982,1
3,1,40,40,4,45,-1.76217139591459,1,0.698761999999988,0.0299906000000192,0.0389094999999315,0.0172913381551982,1
48,1,41,940,94,-45,-1.76217139591459,1,0.640456900000004,0.0300198999999566,0.945113400000082,0.0172913381551982,0
30,1,42,580,58,45,-1.76217139591459,1,0.622611899999924,0.0299164624863124,0.579296537513756,0.0172913381551982,1
2,1,43,20,2,45,-1.76217139591459,1,0.638945400000011,0.0299727999999959,0.0191899000000149,0.0172913381551982,1
23,1,44,440,44,-45,-1.76217139591459,1,0.454559900000049,0.0299199999999473,0.443172600000025,0.0172913381551982,0
34,1,45,660,66,-45,-1.76217139591459,1,0.476373299999977,0.0299923000000035,0.661168699999962,0.0172913381551982,0
34,1,46,660,66,45,-1.76217139591459,1,0.460343599999987,0.0299969000000146,0.661325599999941,0.0172913381551982,1
9,1,47,160,16,-45,-1.76217139591459,1,0.478480800000057,0.0299365999999281,0.163601100000051,0.0172913381551982,0
42,1,48,820,82,-45,-1.76217139591459,1,0.540633299999968,0.029974100000004,0.821325100000081,0.0172913381551982,0
19,1,49,360,36,45,-1.76217139591459,1,0.422617700000046,0.0299714999998741,0.363583600000084,0.0172913381551982,1
36,1,50,700,70,45,-1.76217139591459,1,0.744206700000177,0.029893785932245,0.697741314067571,0.0172913381551982,1
29,1,51,560,56,45,-1.76217139591459,1,0.716424499999903,0.0299783000000389,0.565450800000008,0.0172913381551982,1
38,1,52,740,74,-45,-1.76217139591459,-1,0.496122999999898,0.0298880999998801,0.737493600000107,0.0172913381551982,1
3,1,53,40,4,-45,-1.76217139591459,-1,0.612745900000164,0.0299350000000231,0.0454581000001326,0.0172913381551982,1
17,1,54,320,32,-45,-1.76217139591459,-1,0.524378500000012,0.0299426000001404,0.325291399999969,0.0172913381551982,1
31,1,55,600,60,45,-1.76217139591459,1,0.628509800000074,0.0300462000000152,0.605740400000059,0.0172913381551982,1
44,1,56,860,86,-45,-1.76217139591459,-1,0.664224299999887,0.0298847270810256,0.857603772918992,0.0172913381551982,1
10,1,57,180,18,45,-1.76217139591459,1,0.570525800000041,0.0299420999999711,0.183677400000079,0.0172913381551982,1
16,1,58,300,30,45,-1.76217139591459,1,0.504364600000144,0.0298786765540626,0.297768123446076,0.0172913381551982,1
28,1,59,540,54,45,-1.76217139591459,1,0.48601819999999,0.0299558000001525,0.539400499999829,0.0172913381551982,1
15,1,60,280,28,-45,-1.76217139591459,-1,0.554266699999971,0.0299159999999574,0.279699100000016,0.0172913381551982,1
38,1,61,740,74,-45,-1.76217139591459,-1,0.472314300000107,0.0299459999998817,0.74599390000003,0.0172913381551982,1
30,1,62,580,58,-45,-1.76217139591459,1,0.544150100000024,0.0298680494731798,0.577827850527001,0.0172913381551982,0
16,1,63,300,30,45,-1.76217139591459,1,0.464391199999909,0.0299605000000156,0.305850199999895,0.0172913381551982,1
36,1,64,700,70,45,-1.76217139591459,1,0.562258700000029,0.0299368999999388,0.70375910000007,0.0172913381551982,1
14,1,65,260,26,-45,-1.76217139591459,-1,0.7941679999999,0.0300245999999333,0.263740800000051,0.0172913381551982,1
5,1,66,80,8,45,-1.76217139591459,1,0.72358179999992,0.0299712000000909,0.0781904999998915,0.0172913381551982,1
21,1,67,400,40,-45,-1.76217139591459,-1,0.619856300000038,0.0299185999999736,0.405830299999934,0.0172913381551982,1
50,1,68,980,98,45,-1.76217139591459,1,0.55976869999995,0.0298515859321924,0.97828471406774,0.0172913381551982,1
5,1,69,80,8,45,-1.76217139591459,1,0.910008400000152,0.0299873000001298,0.0838773999998921,0.0172913381551982,1
