contrast_ext,previous_response_ext,bias_ext,contrast_int,previous_response_int,bias_int,AA,AB,BA,BB
4.851630921711467,0.2725436465543042,-5.794403660513386,1.410609803798634,0.3478820028100508,0.050202807988806004,-0.033355168341361194,-3.4171737735045817,-3.9696563432111804,-0.019060421436948107
4.852156320320749,0.27259811820103813,-5.794681967642637,1.4110863968807479,0.34798590092330484,0.049116570810187436,-0.019056346173794845,-3.9698681425220146,-3.417833223270694,-0.033332808952682494
4.851243719730785,0.27261962101610887,-5.79360443819276,1.4113138457956307,0.3475463873774959,0.050317715115701,-0.033373118507695025,-3.4166446909600148,-3.9693067669342956,-0.019067149612527447
4.851877870130899,0.27246130358045073,-5.795012547374972,1.4109621066902922,0.3478260406401466,0.049798285038887426,-0.03335266055739592,-3.4172477136787984,-3.9693394928383374,-0.01906651964648271
4.851675894180212,0.2724488989664433,-5.794836417736239,1.4110808789820746,0.34762410597482696,0.050383819382300576,-0.0333510415962979,-3.4172954505641573,-3.97036922316579,-0.019046708305927088
4.852448142579131,0.2725654912559068,-5.795116630632,1.4110656307434741,0.34807228540116564,0.04881980190567968,-0.0333245912117095,-3.4180757037262484,-3.969906683145727,-0.019055604702322326
4.852826464827485,0.2723477816285001,-5.796374009984327,1.4105905996891728,0.3482235382059565,0.04895290820167267,-0.03331160655147301,-3.4184589653736706,-3.9706788986432744,-0.019040754417181394
4.851509446370736,0.272660599496443,-5.793885896365267,1.4103131947377046,0.34810015564350916,0.049752063722694306,-0.019051152475424698,-3.970138135358029,-3.41766504071055,-0.03333850992410632
4.850092084245488,0.2728328819311651,-5.791721769398258,1.4105057247354607,0.3475553556636162,0.05149130328059731,-0.03337934294987063,-3.4164612926055096,-3.9700837822759842,-0.019052197919801273
4.851618795086561,0.27251019840995017,-5.794558226162871,1.4109544734703245,0.3477651197005808,0.05009375339978597,-0.019065618254467346,-3.969386320861588,-3.4170645781946867,-0.03335887220298537
