,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct
6026,0,-1,-1,0,,15,-1,0.9868149149872228,0.0131850850127546,1
6027,0,-1,1,0,1.0,15,-1,0.984906543613145,0.015093456386911,0
6028,1,-1,2,1,-10.0,15,0,0.9742657768678854,0.0257342231320605,1
6029,1,1,1,2,1.0,15,3,0.9640065740371764,0.0359934259629274,1
6030,0,1,-1,1,,15,2,0.9649589688949548,0.0350410311049867,1
6031,0,-1,-1,0,,15,-1,0.9640844188598906,0.0359155811400333,1
6032,0,-1,-1,0,,15,-1,0.9627041249538888,0.03729587504617,1
6033,0,-1,1,0,1.0,15,-1,0.9607699175043783,0.0392300824957057,0
6034,1,-1,1,1,1.0,15,0,0.944789682531076,0.0552103174688867,1
6035,0,1,-1,1,,15,2,0.9464719645174982,0.0535280354825314,1
6036,1,-1,1,0,3.0,15,-1,0.9455933715763732,0.0544066284237244,1
6037,0,1,-1,1,,15,2,0.9628195303972304,0.0371804696026904,1
6038,0,-1,1,0,3.0,15,-1,0.9755447433001786,0.0244552566999254,0
6039,1,-1,1,1,0.0,15,0,0.9773068013350844,0.0226931986648568,1
6040,0,1,1,1,-1.0,15,2,0.9939952538799056,0.0060047461200175,0
6041,0,-1,1,1,3.0,15,0,0.9972582445642098,0.0027417554357171,0
6042,0,-1,1,1,2.0,15,0,0.9979716233030816,0.0020283766970078,0
6043,1,-1,2,1,10.0,15,0,0.997190678791815,0.0028093212081995,1
6044,0,1,-1,2,,15,3,0.9975385329494568,0.0024614670504957,1
6045,0,-1,1,0,2.0,15,-1,0.9983518657069868,0.0016481342929081,0
6046,0,-1,-1,1,,15,0,0.99793940861022,0.0020605913897634,1
6047,0,-1,1,0,3.0,15,-1,0.9984180878587576,0.0015819121413479,0
6048,1,-1,2,1,10.0,15,0,0.9977284942765402,0.0022715057235651,1
6049,0,1,1,2,1.0,15,3,0.9981873455125918,0.0018126544874533,0
6050,0,-1,-1,1,,15,0,0.9960285361080166,0.0039714638920064,1
6051,0,-1,-1,0,,15,-1,0.9945073115093596,0.0054926884907224,1
6052,0,-1,-1,0,,15,-1,0.9935705838268633,0.0064294161731878,1
6053,0,-1,-1,0,,15,-1,0.9931856630187568,0.0068143369812365,1
6054,0,-1,-1,0,,15,-1,0.9933391160699026,0.0066608839302021,1
6055,0,-1,-1,0,,15,-1,0.9940362982039996,0.0059637017959875,1
6056,0,-1,1,0,0.0,15,-1,0.9953015397723002,0.004698460227772,0
6057,0,-1,1,1,-3.0,15,0,0.9936023620587138,0.006397637941272,0
6058,0,-1,1,1,0.0,15,0,0.986425201179762,0.0135747988201945,0
6059,1,-1,2,1,10.0,15,0,0.96315300853038,0.036846991469554,1
6060,1,1,1,2,1.0,15,3,0.9394380261475478,0.0605619738524515,1
6061,1,1,1,1,-2.0,15,2,0.9340567104486688,0.0659432895513142,1
6062,0,1,-1,1,,15,2,0.9420570678293128,0.0579429321707205,1
6063,0,-1,-1,0,,15,-1,0.9468409663959936,0.0531590336039117,1
6064,0,-1,-1,0,,15,-1,0.9505965420405676,0.0494034579594949,1
6065,0,-1,-1,0,,15,-1,0.9534548573192198,0.046545142680775,1
6066,0,-1,-1,0,,15,-1,0.955515662082426,0.0444843379175049,1
6067,0,-1,-1,0,,15,-1,0.956850874557044,0.0431491254429105,1
6068,1,-1,1,0,3.0,15,-1,0.9575070911577545,0.0424929088421543,1
6069,0,1,1,1,-1.0,15,2,0.9757194799416836,0.024280520058278,0
6070,1,-1,2,1,-10.0,15,0,0.9766721092691188,0.0233278907309297,1
6071,0,1,-1,2,,15,3,0.9783641790982722,0.021635820901785,1
6072,0,-1,1,0,0.0,15,-1,0.9788756658328346,0.0211243341671129,0
6073,0,-1,1,1,3.0,15,0,0.9708811781984288,0.0291188218016055,0
6074,0,-1,-1,1,,15,0,0.9425546104101902,0.0574453895898946,1
6075,0,-1,-1,0,,15,-1,0.9094983585288742,0.0905016414711699,1
6076,0,-1,-1,0,,15,-1,0.8705588212709368,0.1294411787291582,1
6077,1,-1,2,0,-10.0,15,-1,0.8243770817109161,0.175622918289165,1
6078,1,1,1,2,2.0,15,3,0.7756960168766374,0.2243039831232635,1
6079,1,1,1,1,2.0,15,2,0.7616886027667028,0.238311397233199,1
6080,0,1,-1,1,,15,2,0.7694649386631266,0.2305350613368209,1
6081,0,-1,1,0,2.0,15,-1,0.7708156057079161,0.2291843942921575,0
6082,0,-1,1,1,-1.0,15,0,0.7434043817136288,0.2565956182864398,0
6083,1,-1,2,1,-10.0,15,0,0.6466823222747049,0.3533176777253883,1
6084,0,1,-1,2,,15,3,0.5436241681304986,0.456375831869437,1
6085,0,-1,-1,0,,15,-1,0.4005409931028513,0.5994590068970407,1
6086,1,-1,1,0,3.0,15,-1,0.2286710429159369,0.7713289570841684,1
6087,1,1,1,1,2.0,15,2,0.1774130817072861,0.8225869182927029,1
6088,1,1,1,1,-1.0,15,2,0.1602923478424881,0.8397076521575189,1
6089,1,1,1,1,1.0,15,2,0.1615540019200236,0.8384459980798775,1
6090,1,1,1,1,2.0,15,2,0.1823590430845388,0.8176409569153512,1
6091,1,1,2,1,-10.0,15,2,0.2418526835025435,0.7581473164973993,1
6092,1,1,1,2,0.0,15,3,0.2983024588291966,0.7016975411708408,1
6093,1,1,1,1,-2.0,15,2,0.4446264909527971,0.5553735090472216,1
6094,0,1,1,1,-2.0,15,2,0.8154750609243149,0.184524939075698,0
6095,0,-1,1,1,-1.0,15,0,0.8924783547874106,0.1075216452125216,0
6096,0,-1,-1,1,,15,0,0.9152421705239094,0.0847578294760322,1
6097,1,-1,2,0,-10.0,15,-1,0.93454420380455,0.0654557961954011,1
6098,0,1,-1,2,,15,3,0.953488571246189,0.0465114287537703,1
6099,0,-1,-1,0,,15,-1,0.9673340115921396,0.0326659884078845,1
6100,0,-1,-1,0,,15,-1,0.9795589726446932,0.0204410273553224,1
6101,0,-1,1,0,1.0,15,-1,0.9905900826499496,0.0094099173499714,0
6102,0,-1,-1,1,,15,0,0.9935001640299608,0.0064998359701498,1
6103,0,-1,1,0,3.0,15,-1,0.9967830201010692,0.0032169798990325,0
6104,0,-1,-1,1,,15,0,0.9973237022414084,0.0026762977586871,1
6105,0,-1,1,0,0.0,15,-1,0.9986668248891748,0.0013331751109273,0
6106,0,-1,1,1,3.0,15,0,0.9989039458278016,0.001096054172152,0
6107,0,-1,-1,1,,15,0,0.998385833916692,0.0016141660833761,1
6108,0,-1,1,0,1.0,15,-1,0.99880788949081,0.001192110509258,0
6109,1,-1,2,1,10.0,15,0,0.9983912828109298,0.0016087171890204,1
6110,0,1,1,2,0.0,15,3,0.9991498259956416,0.0008501740044181,0
6111,0,-1,1,1,-3.0,15,0,0.9986345807749382,0.001365419224963,0
6112,0,-1,-1,1,,15,0,0.9968343453549722,0.0031656546450645,1
6113,0,-1,-1,0,,15,-1,0.9957624063572014,0.0042375936428656,1
6114,0,-1,-1,0,,15,-1,0.9953813551180388,0.0046186448818897,1
6115,0,-1,1,0,2.0,15,-1,0.9956778936633084,0.0043221063367572,0
6116,0,-1,-1,1,,15,0,0.9930088148458208,0.0069911851542365,1
6117,1,-1,2,0,10.0,15,-1,0.9907507142615164,0.0092492857384344,1
6118,0,1,-1,2,,15,3,0.9894410203404164,0.0105589796595847,1
6119,0,-1,-1,0,,15,-1,0.9876523121873512,0.0123476878125436,1
6120,1,-1,1,0,-1.0,15,-1,0.986084966719728,0.0139150332801683,1
6121,0,1,1,1,-3.0,15,2,0.9940350900127248,0.0059649099873281,0
6122,1,-1,2,1,-10.0,15,0,0.9945169420119452,0.0054830579880353,1
6123,0,1,-1,2,,15,3,0.9960424525923228,0.0039575474076713,1
6124,0,-1,1,0,1.0,15,-1,0.9977125376485856,0.0022874623514237,0
6125,0,-1,-1,1,,15,0,0.9976059038632864,0.0023940961367042,1
6126,0,-1,1,0,2.0,15,-1,0.9983534819422878,0.0016465180576443,0
6127,0,-1,1,1,-1.0,15,0,0.9978810311595876,0.0021189688404437,0
6128,1,-1,2,1,10.0,15,0,0.9954896633321552,0.0045103366679184,1
6129,0,1,-1,2,,15,3,0.9941449562542,0.0058550437457902,1
6130,0,-1,-1,0,,15,-1,0.992761189787136,0.0072388102127973,1
6131,0,-1,-1,0,,15,-1,0.991865720664304,0.0081342793357999,1
6132,0,-1,-1,0,,15,-1,0.991427298689763,0.0085727013101773,1
6133,0,-1,1,0,1.0,15,-1,0.9914306237583272,0.0085693762417755,0
6134,0,-1,1,1,1.0,15,0,0.9864228910910348,0.0135771089090783,0
6135,0,-1,1,1,2.0,15,0,0.968996249306708,0.0310037506932536,0
6136,0,-1,-1,1,,15,0,0.9133717718960728,0.0866282281038285,1
6137,0,-1,-1,0,,15,-1,0.8476795192894488,0.1523204807104842,1
6138,0,-1,-1,0,,15,-1,0.7696269548976634,0.2303730451023798,1
6139,0,-1,-1,0,,15,-1,0.6764901903980793,0.3235098096018552,1
6140,0,-1,1,0,-3.0,15,-1,0.565018927134199,0.4349810728657856,0
6141,1,-1,1,1,-3.0,15,0,0.2091487958084022,0.7908512041915872,1
6142,1,1,1,1,-1.0,15,2,0.100283255388562,0.8997167446114875,1
6143,1,1,1,1,-2.0,15,2,0.057498177398618,0.942501822601406,1
6144,1,1,1,1,1.0,15,2,0.0414218831573108,0.9585781168426112,1
6145,0,1,-1,1,,15,2,0.0372606473522167,0.9627393526477732,1
6146,0,-1,-1,0,,15,-1,0.0280897578391019,0.9719102421609316,1
6147,1,-1,2,0,-10.0,15,-1,0.0151859172514846,0.9848140827484874,1
6148,1,1,-1,2,,15,3,2.5759207106130428e-06,0.999997424079218,0
6149,1,1,1,0,1.0,15,1,0.0002612836661464,0.9997387163338348,1
6150,1,1,-1,1,,15,2,1.835473428572617e-07,0.9999998164526174,0
6151,1,1,1,0,-2.0,15,1,0.0004708477891193,0.9995291522107784,1
6152,1,1,1,1,1.0,15,2,0.000740907549166,0.999259092450802,1
6153,1,1,2,1,-10.0,15,2,0.0010588771833474,0.9989411228165636,1
6154,1,1,-1,2,,15,3,1.998427995796144e-07,0.999999800157204,0
6155,1,1,-1,0,,15,1,1.31378243649291e-07,0.99999986862168,0
6156,1,1,1,0,2.0,15,1,0.000470848430895,0.9995291515692049,1
6157,1,1,1,1,0.0,15,2,0.0007409767750229,0.9992590232250114,1
6158,1,1,2,1,10.0,15,2,0.0010590938789264,0.9989409061211112,1
6159,1,1,-1,2,,15,3,5.594265697725289e-07,0.999999440573376,0
6160,0,1,-1,0,,15,1,0.0011831001518336,0.9988168998481476,1
6161,1,-1,1,0,1.0,15,-1,0.0004794226221556,0.9995205773778738,1
6162,1,1,-1,1,,15,2,4.153346284189906e-07,0.9999995846654608,0
6163,0,1,-1,0,,15,1,0.0014057194098095,0.9985942805901654,1
6164,1,-1,1,0,0.0,15,-1,0.0008641348671197,0.9991358651327992,1
6165,1,1,1,1,3.0,15,2,0.0009131571596884,0.9990868428403206,1
6166,1,1,1,1,-2.0,15,2,0.0011384437257902,0.998861556274295,1
6167,1,1,1,1,2.0,15,2,0.0017473077388144,0.998252692261175,1
6168,1,1,1,1,-2.0,15,2,0.0033000379584786,0.9966999620414596,1
6169,0,1,-1,1,,15,2,0.0072254875775162,0.9927745124224082,1
6170,1,-1,2,0,10.0,15,-1,0.0082448164364953,0.9917551835635492,1
6171,0,1,-1,2,,15,3,0.0076680234382464,0.9923319765616734,1
6172,1,-1,1,0,2.0,15,-1,0.004214168925011,0.9957858310750106,1
6173,1,1,1,1,-3.0,15,2,0.0040363752533963,0.9959636247467166,1
6174,0,1,-1,1,,15,2,0.0057375097632043,0.9942624902368538,1
6175,1,-1,1,0,1.0,15,-1,0.0048799112515888,0.9951200887483684,1
6176,0,1,-1,1,,15,2,0.0072628955334126,0.9927371044665452,1
6177,0,-1,-1,0,,15,-1,0.0069061194345002,0.9930938805655154,1
6178,1,-1,1,0,-3.0,15,-1,0.0044501475604418,0.9955498524394818,1
6179,1,1,2,1,10.0,15,2,0.0050701929631656,0.9949298070368576,1
6180,1,1,1,2,-1.0,15,3,0.0042502799723205,0.995749720027734,1
6181,0,1,-1,1,,15,2,0.0053241037603361,0.9946758962397756,1
6182,1,-1,1,0,-2.0,15,-1,0.0038896618018326,0.9961103381982253,1
6183,1,1,1,1,-3.0,15,2,0.00514458124043,0.9948554187596044,1
6184,1,1,1,1,-1.0,15,2,0.0093238920795543,0.990676107920344,1
6185,0,1,-1,1,,15,2,0.0202734791743391,0.9797265208256954,1
6186,1,-1,2,0,-10.0,15,-1,0.0263752383971819,0.973624761602898,1
6187,0,1,-1,2,,15,3,0.0305976317415045,0.9694023682585644,1
6188,1,-1,1,0,-3.0,15,-1,0.0306501356731596,0.9693498643268512,1
6189,0,1,-1,1,,15,2,0.0420926299002598,0.9579073700998348,1
6190,1,-1,1,0,2.0,15,-1,0.0480010492066019,0.9519989507935072,1
6191,0,1,-1,1,,15,2,0.0748469048870397,0.9251530951129155,1
