,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
35790,1,-1,2,0,10.0,17,-1,0.9912147946411272,0.0087852053589287,1,0,1,1
35791,0,1,1,2,1.0,17,3,0.99470522067601,0.0052947793240114,0,0,0,1
35792,0,-1,-1,1,,17,0,0.9939404432298722,0.0060595567701719,1,1,1,1
35793,0,-1,-1,0,,17,-1,0.9938307982227812,0.0061692017772521,1,1,1,1
35794,0,-1,1,0,-2.0,17,-1,0.9943672690876916,0.005632730912318,0,1,0,1
35795,0,-1,-1,1,,17,0,0.9909900964553784,0.0090099035445903,1,1,1,1
35796,1,-1,2,0,10.0,17,-1,0.9877245658485472,0.0122754341514072,1,0,1,1
35797,0,1,-1,2,,17,3,0.9859885733569608,0.0140114266430914,1,0,1,1
35798,0,-1,-1,0,,17,-1,0.9835383622913088,0.0164616377086636,1,1,1,1
35799,0,-1,-1,0,,17,-1,0.9806954688852646,0.0193045311147491,1,1,1,1
35800,0,-1,-1,0,,17,-1,0.9772261101352848,0.0227738898647289,1,1,1,1
35801,1,-1,1,0,2.0,17,-1,0.972844986175151,0.0271550138248006,1,0,1,1
35802,0,1,-1,1,,17,2,0.981365801978703,0.0186341980212874,1,0,1,1
35803,0,-1,1,0,-1.0,17,-1,0.9879020084628324,0.012097991537166,0,1,0,1
35804,0,-1,1,1,-2.0,17,0,0.9874494656671255,0.0125505343328546,0,1,0,1
35805,1,-1,1,1,-2.0,17,0,0.9793559219239268,0.0206440780760431,1,0,1,1
35806,0,1,-1,1,,17,2,0.9829050550393328,0.0170949449606761,1,0,1,1
35807,1,-1,2,0,-10.0,17,-1,0.985373441765326,0.0146265582346505,1,0,1,1
35808,0,1,-1,2,,17,3,0.9893046260617934,0.0106953739382097,1,0,1,1
35809,0,-1,-1,0,,17,-1,0.9926466657300228,0.0073533342699424,1,1,1,1
35810,0,-1,1,0,2.0,17,-1,0.9962292195980936,0.0037707804018824,0,1,0,1
35811,0,-1,1,1,2.0,17,0,0.9966992715727512,0.0033007284271923,0,1,0,1
35812,0,-1,-1,1,,17,0,0.9947343093686376,0.0052656906313089,1,1,1,1
35813,0,-1,-1,0,,17,-1,0.9934524336826088,0.0065475663173429,1,1,1,1
35814,1,-1,2,0,-10.0,17,-1,0.9927482305209048,0.0072517694790801,1,0,1,1
35815,0,1,-1,2,,17,3,0.9937323902582432,0.0062676097417047,1,0,1,1
35816,0,-1,1,0,1.0,17,-1,0.99495977047633,0.0050402295236475,0,1,0,1
35817,0,-1,-1,1,,17,0,0.9927452519058731,0.0072547480941655,1,1,1,1
35818,0,-1,-1,0,,17,-1,0.9909581995561252,0.0090418004439247,1,1,1,1
35819,1,-1,2,0,-10.0,17,-1,0.989451656645472,0.0105483433545693,1,0,1,1
35820,0,1,1,2,3.0,17,3,0.9895423180104878,0.0104576819894826,0,0,0,1
35821,0,-1,-1,1,,17,0,0.9821949852270122,0.0178050147729464,1,1,1,1
35822,0,-1,-1,0,,17,-1,0.9736116753898444,0.0263883246101191,1,1,1,1
35823,0,-1,-1,0,,17,-1,0.9630865470670104,0.0369134529329537,1,1,1,1
35824,1,-1,2,0,-10.0,17,-1,0.9497540749789484,0.0502459250210621,1,0,1,1
35825,1,1,1,2,2.0,17,3,0.9370106268939128,0.0629893731060876,1,1,1,1
35826,0,1,1,1,1.0,17,2,0.9397214200651692,0.0602785799348357,0,0,0,1
35827,0,-1,-1,1,,17,0,0.9226470469655486,0.0773529530344756,1,1,1,1
35828,0,-1,-1,0,,17,-1,0.9000306647441499,0.099969335255885,1,1,1,1
35829,1,-1,1,0,-3.0,17,-1,0.8700124337917776,0.1299875662082205,1,0,1,1
35830,1,1,2,1,10.0,17,2,0.8681383967163175,0.1318616032836562,1,1,1,1
35831,0,1,-1,2,,17,3,0.8666160811847242,0.1333839188152206,1,0,1,1
35832,0,-1,-1,0,,17,-1,0.8588031815813264,0.1411968184186774,1,1,1,1
35833,0,-1,-1,0,,17,-1,0.8455611381375223,0.1544388618625081,1,1,1,1
35834,1,-1,1,0,-3.0,17,-1,0.825801002291027,0.1741989977090287,1,0,1,1
35835,0,1,-1,1,,17,2,0.8331498285382127,0.1668501714617937,1,0,1,1
35836,0,-1,-1,0,,17,-1,0.8333940912013176,0.1666059087986774,1,1,1,1
35837,0,-1,1,0,-3.0,17,-1,0.8282707701462991,0.1717292298537408,0,1,0,1
35838,0,-1,1,1,-1.0,17,0,0.7867267232758084,0.2132732767242205,0,1,0,1
35839,1,-1,1,1,1.0,17,0,0.6488843564438415,0.3511156435561212,1,0,1,1
35840,0,1,1,1,0.0,17,2,0.6017463919497544,0.3982536080501888,0,0,0,1
35841,0,-1,-1,1,,17,0,0.426258983141743,0.5737410168582928,1,1,1,2
35842,1,-1,1,0,0.0,17,-1,0.1932788328333775,0.8067211671665746,1,0,1,2
