orientation_ext,prev_resp_ext,bias_ext,orientation_int,prev_resp_int,bias_int,AA,AB,BA,BB
1.0529822965066717,0.07106783848669121,0.6429379181496797,0.7383613603948032,0.24495486255852067,-0.654413511496439,-0.040694740795604034,-3.2219347824339737,-3.840237999634436,-0.021722725720104075
1.0525571129713758,0.06507635258760795,0.6571815799593324,0.7510645677393937,0.24558088868455946,-0.6410639503656292,-0.022223448426210744,-3.817698458008441,-3.2394984024675346,-0.03997188153098352
1.0531590902943964,0.07398155471556203,0.6386225747742399,0.7334040538493436,0.23970825313287458,-0.6678870483740753,-0.021692209589340792,-3.8416285865329898,-3.201141946598447,-0.041567774926475586
1.052779019724897,0.06867147269784965,0.6484943942553729,0.7439404531937658,0.24588162594396124,-0.647565167324965,-0.021901936173333365,-3.8321112172092238,-3.23129580039192,-0.04030782814529397
1.0554456360000313,0.19627968763896309,0.2215149905198554,0.3623708760967521,0.5088597187666954,-0.08159415799681345,-0.0007511708213657944,-7.194253035421578,-7.569875633295257,-0.0005158896357487312
1.0530904196482347,0.07395065020881082,0.638808507086559,0.7340418381003371,0.23936690965628404,-0.6678774221844991,-0.041593776009014954,-3.200529542028241,-3.839029864218618,-0.021749273220593363
1.052970760189447,0.07458768533756667,0.637449680643265,0.7331652413073889,0.23891305282707964,-0.6694223454976836,-0.021709178285657292,-3.84085509758881,-3.198539815127421,-0.04167836923829325
1.0530973326816397,0.07396695486979028,0.6388782734531081,0.7340665098718814,0.2391955714976083,-0.6681324544928875,-0.04162114689535995,-3.199885296539664,-3.8385186873048807,-0.0217605156658541
1.052611006513479,0.06528811307403605,0.6575081667443882,0.7511976574208731,0.24466428226064865,-0.6422760992815918,-0.04006864804724182,-3.2371285239063825,-3.8158594787263946,-0.02226481326692847
1.0526041487874926,0.06531552224399746,0.6575208090626373,0.7512172964374549,0.24457681042606758,-0.6423986940401003,-0.022262849293396985,-3.815946714020482,-3.2371225744189314,-0.04006889127628726
