stim*contrast_ext,previous_ext,stim*contrast_int,previous_int,AA,AB,BA,BB
4.110846331160828,1.7582526808931827,2.593556866943537,3.264617804511286,-0.10071922791161908,-2.345355522861999,-2.6742462001830596,-0.0714517383787228
4.280577033836273,1.8318002775940923,1.1664267827890527,3.4925300791017233,-0.0874536947470566,-2.4800540234046227,-2.451219995993683,-0.09013082599291881
4.100204781109237,1.7751522715926014,2.5218092499119398,3.298023487645097,-0.09815818294447515,-2.369852654076053,-2.637931757005249,-0.07419460716062502
4.098619956527027,1.7703782607981609,2.569686424616861,3.2779813812441927,-0.0719491280936123,-2.667554842423064,-2.3717371294377854,-0.09796402517036402
3.584463323329886,2.408511698966977,3.531532529232919,2.397432117874132,-0.026110746027446268,-3.6584352902472204,-3.6623447758440824,-0.026007529310645223
4.050072362884517,1.7431592521837107,2.743838897907388,3.2381624192327263,-0.06910568080275427,-2.706472205449495,-2.3294524090508877,-0.10241933400953916
3.6225939561405416,2.4031630757794726,3.360250330901518,2.3984331330186963,-0.044407265165348604,-3.136473660129263,-5.33633898471362,-0.004825082656560791
3.5866949914109956,2.3999984845096716,3.522079340689594,2.403808155057374,-0.032317195777168614,-3.448270894966789,-4.2535829297677035,-0.01431519280358696
4.110717332762956,1.7620513735909864,2.588192194607788,3.266402458125835,-0.10010497722988775,-2.351170852862346,-2.6679693921389034,-0.07191820929192735
3.8369617585862996,2.4069598833126573,3.278680715607716,2.3972316840449106,-0.034487982278963845,-3.384338787795002,-3.045770066182953,-0.04872782358791054
