isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
40,1,1,780,78,-45,-1.69533472070549,-1,1.11400689999937,0.0503212000003259,0.782748300000094,0.0201681136180557,1
4,1,2,60,6,-45,-1.69533472070549,1,1.34064370000124,0.0435508000009577,0.0561309000004258,0.0201681136180557,0
6,1,3,100,10,-45,-1.69533472070549,-1,0.712676900002407,0.0502480662034941,0.101118999999017,0.0201681136180557,1
12,1,4,220,22,-45,-1.69533472070549,-1,0.519317399997817,0.0469432000027155,0.217384699997638,0.0201681136180557,1
1,1,5,0,0,-45,-1.69533472070549,-1,0.574014300000272,0.0469929999999295,0.00296840000009979,0.0201681136180557,1
30,1,6,580,58,45,-1.69533472070549,1,0.923587899997074,0.0482069999998203,0.579909199997928,0.0201681136180557,1
27,1,7,520,52,-45,-1.69533472070549,-1,0.449202700001479,0.0496094999980414,0.525259199999709,0.0201681136180557,1
14,1,8,260,26,-45,-1.69533472070549,-1,0.565838899998198,0.0412497999968764,0.256825500000559,0.0201681136180557,1
46,1,9,900,90,-45,-1.69533472070549,-1,0.517044000000169,0.0414767703914549,0.897274629609456,0.0201681136180557,1
31,1,10,600,60,-45,-1.69533472070549,-1,0.499561299999186,0.0497259999974631,0.602217500003462,0.0201681136180557,1
31,1,11,600,60,-45,-1.69533472070549,-1,0.539005999999063,0.0465327999991132,0.598300199999358,0.0201681136180557,1
50,1,12,980,98,45,-1.69533472070549,1,1.5477764999996,0.0484394000013708,0.979853599998023,0.0201681136180557,1
3,1,13,40,4,-45,-1.69533472070549,-1,0.505663300002198,0.047728499997902,0.0386575000011362,0.0201681136180557,1
36,1,14,700,70,45,-1.69533472070549,-1,0.479950799999642,0.0500504000010551,0.702054400000634,0.0201681136180557,0
22,1,15,420,42,-45,-1.69533472070549,-1,0.448469800001476,0.0451279000008071,0.418118000001414,0.0201681136180557,1
48,1,16,940,94,45,-1.69533472070549,1,0.73441610000009,0.0410365999996429,0.936835800002882,0.0201681136180557,1
29,1,17,560,56,45,-1.69533472070549,-1,0.473148699999001,0.0417138000011619,0.557272399997601,0.0201681136180557,0
41,1,18,800,80,45,-1.69533472070549,-1,0.601091500000621,0.0419695999989926,0.796976499997982,0.0201681136180557,0
14,1,19,260,26,-45,-1.69533472070549,-1,0.470175499998732,0.0495450000016717,0.264306099998066,0.0201681136180557,1
11,1,20,200,20,-45,-1.69533472070549,-1,0.525641300002462,0.0439932000008412,0.198724599998968,0.0201681136180557,1
28,1,21,540,54,45,-1.69533472070549,1,0.665132599999197,0.0449128000000201,0.538139600001159,0.0201681136180557,1
39,1,22,760,76,-45,-1.69533472070549,-1,0.484612100000959,0.0496884999993199,0.761879100002261,0.0201681136180557,1
7,1,23,120,12,45,-1.69533472070549,1,0.702679300000455,0.0447494999971241,0.116516300000512,0.0201681136180557,1
14,1,24,260,26,-45,-1.69533472070549,-1,0.406794099999388,0.0405169999976351,0.256570300000021,0.0201681136180557,1
18,1,25,340,34,45,-1.69533472070549,1,0.421034499999223,0.0501107000018237,0.345182399996702,0.0201681136180557,1
3,1,26,40,4,-45,-1.69533472070549,-1,0.449905199999193,0.0502122999969288,0.0438252000021748,0.0201681136180557,1
37,1,27,720,72,45,-1.69533472070549,1,0.836778799999593,0.045110900002328,0.718372100000124,0.0201681136180557,1
40,1,28,780,78,45,-1.69533472070549,1,0.475641499997437,0.043045999998867,0.776943100001517,0.0201681136180557,1
50,1,29,980,98,-45,-1.69533472070549,-1,0.469404899999063,0.0414660999995249,0.976998599999206,0.0201681136180557,1
18,1,30,340,34,-45,-1.69533472070549,-1,0.477022200000647,0.0474380000014207,0.33907679999902,0.0201681136180557,1
50,1,31,980,98,45,-1.69533472070549,1,0.558456200000364,0.0455970000002708,0.979937899999641,0.0201681136180557,1
18,1,32,340,34,-45,-1.69533472070549,-1,0.470819900001516,0.0495114000004833,0.34354710000116,0.0201681136180557,1
38,1,33,740,74,45,-1.69533472070549,1,0.692416100002447,0.0423824999998033,0.736985700001242,0.0201681136180557,1
7,1,34,120,12,-45,-1.69533472070549,-1,0.446859700001369,0.0442456000018865,0.116763699999865,0.0201681136180557,1
2,1,35,20,2,-45,-1.69533472070549,-1,0.565538200000447,0.0493284000003769,0.0250266000002739,0.0201681136180557,1
3,1,36,40,4,-45,-1.69533472070549,-1,0.624182999999903,0.0509856999997282,0.0448251999987406,0.0201681136180557,1
24,1,37,460,46,45,-1.69533472070549,1,0.502646400000231,0.0456147000004421,0.459777899999608,0.0201681136180557,1
32,1,38,620,62,-45,-1.69533472070549,-1,0.430582699998922,0.0404387000016868,0.616637800001627,0.0201681136180557,1
40,1,39,780,78,45,-1.69533472070549,1,0.429555200000323,0.0407100999982504,0.777967800000624,0.0201681136180557,1
12,1,40,220,22,-45,-1.69533472070549,-1,0.399577000000136,0.0500233999991906,0.222006899999542,0.0201681136180557,1
15,1,41,280,28,-45,-1.69533472070549,1,1.10633149999921,0.0412189999988186,0.276725800002168,0.0201681136180557,0
44,1,42,860,86,45,-1.69533472070549,1,0.561755399998219,0.0492536999990989,0.860879300002125,0.0201681136180557,1
7,1,43,120,12,45,-1.69533472070549,-1,0.386244100001932,0.0413855999977386,0.116399400001683,0.0201681136180557,0
19,1,44,360,36,-45,-1.69533472070549,-1,0.502707999999984,0.0492694000022311,0.360260099998413,0.0201681136180557,1
32,1,45,620,62,45,-1.69533472070549,1,0.419199099997059,0.0484823310071079,0.620321594411507,0.0201681136180557,1
