orientation_ext,prev_resp_ext,orientation_int,prev_resp_int,AA,AB,BA,BB
1.7353447166212486,4.175504354727625,0.9757117876871848,-0.052737783205398535,-0.05338613066016869,-2.956778607076461,-1.253455609560336,-0.33619531446988377
1.0386344188264094,0.21739056514364533,0.3617100895588581,0.5147336432135136,-0.0004773613144323145,-7.647475552371031,-7.434408472203952,-0.0005907526769839187
1.0387418091587923,0.21718599704585026,0.3621496420176363,0.5150100287691199,-0.0004774610386362593,-7.647266716871816,-7.434269072332509,-0.0005908350579055816
1.0386327357171241,0.2174252730216348,0.36147648138584615,0.5143540850160719,-0.00047733735217112965,-7.647525738976098,-7.434687680721584,-0.0005905877081198974
1.0386172944402303,0.21744283568733547,0.3614309248966021,0.5143614214717833,-0.0005906032949609882,-7.434661296777086,-7.647545375394632,-0.0004773279768297365
1.7355495069001579,4.183300666112911,0.9756190989414201,-0.05272983733250178,-0.33645145965353596,-1.2528149128032486,-2.9570127333696945,-0.05337329349197136
1.0386732794449756,0.21736397171288072,0.36189642957439777,0.5146759063794097,-0.0004773881036182837,-7.64741944803264,-7.434591941561629,-0.0005906442698999665
1.0386262420760106,0.21742459068748404,0.36145041952102924,0.5143735586467624,-0.0004773350424896815,-7.6475305765107064,-7.434647744217484,-0.0005906113015659563
1.038630047486258,0.21759059238317224,0.36299543624149905,0.5151453401407914,-0.0005903934813668413,-7.435016508001206,-7.647435611177564,-0.0004773803857455958
1.038642866046571,0.21737810406712002,0.3617513501611692,0.5147414551721534,-0.0005907412617300265,-7.434427789920613,-7.647453886816602,-0.00047737165931089297
