stim*contrast_ext,previous_ext,stim*contrast_int,previous_int,AA,AB,BA,BB
3.549614003283389,1.9029948357870135,2.2323176401075266,3.709206970996311,-0.14968732662079773,-1.9731168915643018,-1.9961283998674064,-0.14602079054373882
3.5458001154056724,1.905258926694116,2.2257158212732646,3.6970876176466585,-0.14758651552444646,-1.9862265775195684,-2.009584043348328,-0.14392166474013518
3.5467211767694837,1.9052591187287335,2.2205304060396682,3.689345925719717,-0.14855796490715553,-1.9801396511327656,-2.002377194188811,-0.14504189597020048
3.549668953076001,1.9026630482497406,2.229799960614363,3.7051246254279575,-0.14596831752369008,-1.9964622191861083,-1.974286899974266,-0.14949853246380607
3.547335246033381,1.9032660604011522,2.2294453796334004,3.7047160548685407,-0.14571297010887985,-1.998088514094731,-1.9747408779294287,-0.1494253470088013
3.5488460742649353,1.9028109584229131,2.229908532737104,3.7051613298867823,-0.1458968926140774,-1.996916812673408,-1.9744327269465793,-0.14947501959779436
3.549127433951911,1.9026347654855549,2.2305141414625242,3.706947979539874,-0.14598379265713288,-1.9963637571184278,-1.9734775679862975,-0.14962910002590724
3.549640144532616,1.9025929658021044,2.2338022446686927,3.712313186305913,-0.14990000788749083,-1.9718007499342873,-1.9952883490831255,-0.14615292775485256
3.5464268715270637,1.904080577058616,2.226893498349608,3.7001962883553796,-0.14914800531723685,-1.976463435887329,-1.9998271747438638,-0.145440510774097
3.549874421906911,1.9024895415782177,2.2340216637603727,3.712684569952819,-0.1462043662182892,-1.9949615542642158,-1.9715590882117207,-0.14993909444233955
