stim*contrast_ext,previous_ext,bias_ext,stim*contrast_int,previous_int,bias_int,AA,AB,BA,BB
4.869104578316084,2.8999571178335324,1.9815619297017526,3.2629584044650684,5.327093739899445,2.109825005429731,-0.11141422989158092,-2.249690177399688,-2.31089713519229,-0.10444120583149513
4.870582209370196,2.9000858416864954,1.982312330179265,3.2610342725428914,5.32185017040975,2.1072834582926245,-0.11169378732640184,-2.247321328838877,-2.30828252505469,-0.10472946675834471
4.873506035718876,2.899975988376165,1.9839273308482446,3.263288077721986,5.330111953599052,2.111918348127617,-0.10495632929654354,-2.3062301406162673,-2.2456973225324006,-0.11188587118033785
4.873587469515667,2.899765097862364,1.984240838776193,3.2625834555421753,5.32575330867529,2.1090668282211738,-0.10484283527387722,-2.3072563158193544,-2.245981746214635,-0.11185220497678042
3.010367405087762,3.1217596041082167,1.2820759115411484,3.0057142063510622,3.1139426250834243,1.2893047937284865,-0.041592423512323895,-3.200561387801017,-3.8659937478003825,-0.021164497165014732
4.873072657720074,2.899812814165966,1.9839355267921241,3.261559239163889,5.322319640586974,2.107224241443201,-0.10458212483489296,-2.3096180107139137,-2.2492115573014413,-0.11147065412588693
4.872200686925258,2.8999111094055414,1.9834678673233044,3.2620117299984077,5.324415840694998,2.108453732877034,-0.10479841927077732,-2.307658229151316,-2.2466081998606544,-0.11177809167894154
4.870171318278457,2.8999479455002604,1.9821100675118466,3.2620916475443944,5.323637218184186,2.107932110243018,-0.10473807188376939,-2.3082045906276916,-2.247406234707063,-0.11168375444138745
4.870607475017186,2.9000625083332605,1.982407429747834,3.262947231351601,5.32715308483306,2.109941170612333,-0.11174038450257057,-2.2469270938850325,-2.307270043536817,-0.10484131787764896
4.871009855164247,2.8999428220649928,1.982721830976902,3.2613530975300056,5.322171161822496,2.107209451320148,-0.11171839119939662,-2.2471131463561447,-2.308184895533626,-0.10474024663436363
