stim*contrast,previous,bias
-0.7871984877550184,-0.6480296677968711,-0.0030475318419593447
-0.6775631491867954,-0.648020502589793,-0.003116079152405105
-0.7876127183377464,-0.6480293849012446,-0.0030439602025200056
-0.7889443018076231,-0.6480302708474979,-0.0030476397416432026
-0.7872634868940032,-0.6478456372746059,-0.003043798968622368
-0.7876227621383829,-0.6480300213700626,-0.003044211668327632
-0.7872053726913905,-0.6478803750773998,-0.003043808970385516
-0.7872666984860439,-0.6476850243623474,-0.0030437703604352627
-0.787476904702926,-0.6479877008981034,-0.003044965665029991
-0.7875624312541245,-0.6480065868776885,-0.0030439493352262146
-0.786855034078118,-0.6479440123110971,-0.0030435447978707972
-0.7878879288459751,-0.6480090361144405,-0.0030554115251207915
-0.7864308123562729,-0.6478466379997659,-0.00302388218152584
-0.787544231281717,-0.6479821342434452,-0.0030439539201752982
-0.7876229753786901,-0.6480300384073437,-0.0030442015920294344
-0.7917996431918218,-0.647681403719493,-0.0030340582800817643
-0.7872465538914355,-0.6479340924585467,-0.0030443787089999
-0.7875020148469368,-0.6478128740362509,-0.0030432841681421493
-0.7876227906958817,-0.6480300260823686,-0.003044190313769787
-0.7847524885355822,-0.6480287027606856,-0.003048526407124561
-0.7858853923856961,-0.6480292327148025,-0.0030471958797324795
-0.7876216550567714,-0.6480234922151346,-0.003044451127574218
-0.7866230449328924,-0.6477986465181308,-0.0030694712745300565
-0.7876221023918146,-0.6480299351568124,-0.0030442129366156064
-0.7897180341034351,-0.6480307927280666,-0.00304641324530048
-0.787011092233853,-0.6480297708469394,-0.003045954141173712
-0.7875524282590416,-0.6480097341776662,-0.0030446756427998634
-0.7849985038270115,-0.6476635567123754,-0.0030496915943601863
-0.7860985851483804,-0.6479468766511011,-0.003043185213647461
-0.7876245906430449,-0.6480300766629981,-0.003044226629193742
-0.7900916562873815,-0.6480310175131038,-0.0030460403658949383
-0.7882492764035826,-0.6480303407735217,-0.0030455235091093914
-0.7871436383208695,-0.6480298296430501,-0.0030458984656571864
-0.7883483189584325,-0.6476485498640318,-0.003059141583197058
-0.7866734856126884,-0.6480296184923539,-0.0030461801047475027
-0.7873732362549476,-0.6479394483068722,-0.0030435400243916913
-0.787545204694714,-0.6480213997403017,-0.00304421269108532
-0.7876229710591943,-0.6480300069091256,-0.003044219858421621
-0.7860897141571961,-0.6480291498325683,-0.0030483420713336928
-0.7875659720998109,-0.647951038487259,-0.0030437951514537664
-0.7865244193541591,-0.647738144623176,-0.003047406597528768
-0.7873100002035465,-0.6480102706717497,-0.003038434195889807
-0.7862128239030524,-0.6480294131766695,-0.003046548089326959
-0.7876209888623332,-0.6480298651747842,-0.003044211587903972
-0.779786912494712,-0.6479122214783714,-0.0030312634184256945
-0.787624478281623,-0.6480300764676837,-0.003044227179651442
-0.7872605993203546,-0.6479979763220707,-0.0030447990011147935
-0.7876306814768893,-0.6480290335020987,-0.00304404824018659
-0.7876223078887011,-0.6480299887701672,-0.0030442327190155515
-0.7873609706908615,-0.6479045162688575,-0.0030438668718166433
-0.7875959612916795,-0.6480283597011113,-0.0030434032075274354
-0.7867537809324439,-0.6479041020757081,-0.003044982347986451
-0.7875840948758418,-0.6480140595483955,-0.0030440184101302964
-0.8290639519256532,-0.6480174579123391,-0.003026864595866533
-0.7876233035839423,-0.6480300500417193,-0.003044216321212226
-0.7876314954675219,-0.6480295819624299,-0.00304445942042535
-0.7849911535688525,-0.6478790407439458,-0.003049633156058131
-0.7813869590638004,-0.64802665188574,-0.0030540294817425827
-0.7874680260446657,-0.6479644167366545,-0.0030438506607642335
-0.7876228921737907,-0.6480300046956833,-0.0030442102315272313
-0.7873474533863549,-0.6478902231797103,-0.00304385008663164
-0.7905524370506594,-0.6480310381063255,-0.0030466817149783125
-0.738693003218,-0.6479951123931158,-0.003081917564296285
-0.7884136344302002,-0.6477682531910836,-0.003041504536608006
-0.7883628416012906,-0.647968662606724,-0.003068554635635049
-0.7876410252085182,-0.6479756243341495,-0.0030439974897879824
-0.7818971881431768,-0.6480271073011499,-0.0030527532736602096
-0.789099122309731,-0.6480305349286845,-0.003046487783738383
-0.786729810657728,-0.6478447422931303,-0.0030447478975809245
-0.8144003416560709,-0.6480439479429655,-0.0030321063362081313
-0.7869773340521464,-0.6477782390011235,-0.00304415683032005
-0.7874508017938725,-0.6477946992665512,-0.0030433559035065103
-0.7872486258927507,-0.6476836030064835,-0.0030091543057011137
-0.7875498262758014,-0.6478041323298116,-0.0030438418415705483
-0.7884451550305367,-0.6480299999684875,-0.0030481609343245763
-0.7723086346276794,-0.647850130196594,-0.0029713628084910206
-0.7853642708491823,-0.6477439132297658,-0.0030357999082179753
-0.7872830610038932,-0.6480298869545295,-0.0030459181069468753
-0.7871812014144014,-0.6480028563833188,-0.0030360173714630437
-0.7845286020577493,-0.6477898520137607,-0.0030550365047424992
-0.7870747267465571,-0.6478032326438573,-0.0030441042046387284
-0.7865291541577736,-0.6479202682023684,-0.0030563147389576027
-0.7907849288584327,-0.6480316199314328,-0.003044220105073261
-0.7867539143461814,-0.6478028931206857,-0.003044645872151374
-0.7118274858526162,-0.6480298254123151,-0.0030965499827373347
-0.7876230683563921,-0.6480300437076865,-0.0030442019908364206
-0.7875676800161031,-0.6480115439333867,-0.003044667429106944
-0.7876202445691791,-0.648029818831695,-0.0030442086037084865
-0.7876287581857692,-0.6480296274866788,-0.00304427194557458
-0.7874424177787034,-0.6479813539787904,-0.0030450832605219483
-0.7850018932368497,-0.6478580395765366,-0.003023037496849979
-0.7882612871498531,-0.6479835535825688,-0.0030441774112692386
-0.7872658508845547,-0.6477940858201304,-0.0030473377104516543
-0.7876189274363317,-0.6480297489189641,-0.003044161736124522
-0.7872624400811588,-0.6477063869271725,-0.0030437563134303645
-0.7873935551075929,-0.6479712579178456,-0.0030402904993843943
-0.7896724702817058,-0.6480244680601623,-0.003048475892482319
-0.7842491860009911,-0.6478187934837395,-0.0030528160191938217
-0.7883078856258695,-0.6475915176109475,-0.003039417139141125
-0.7866838476815683,-0.6480296260391883,-0.0030462151576548073
