ID,block,theta,prev_resp,resp,correct,isi_ms,Gl_Prob_State_ext,Gl_Prob_State_int
1,1,-1,0,0,1,640,0.9009234965178268,0.09907650348220974
1,1,-1,0,0,1,920,0.8924956638424993,0.10750433615753718
1,1,1,-1,1,1,620,0.8935209260123909,0.10647907398762128
1,1,1,1,1,1,440,0.8803784330803626,0.11962156691963016
1,1,1,1,1,1,580,0.8565590268445903,0.1434409731554391
1,1,-1,1,0,1,680,0.8179209288649949,0.18207907113505784
1,1,-1,-1,0,1,820,0.7917868447831029,0.20821315521688222
1,1,1,-1,1,1,460,0.7784991408246771,0.22150085917531903
1,1,-1,1,0,1,680,0.739890998901653,0.2601090010983151
1,1,-1,-1,0,1,1000,0.7139502102433394,0.28604978975669876
1,1,-1,-1,0,1,1000,0.7011928276349485,0.29880717236501686
1,1,-1,-1,0,1,360,0.7005659543550589,0.299434045644965
1,1,1,-1,0,0,800,0.712017853080874,0.28798214691914287
1,1,1,0,1,1,880,0.8072718560374276,0.19272814396259177
1,1,1,1,1,1,760,0.863350596980418,0.13664940301960604
1,1,1,0,1,1,300,0.900022529330562,0.09997747066940507
1,1,1,0,1,1,600,0.9203088442301188,0.07969115576984577
1,1,-1,1,0,1,980,0.9297213814944492,0.07027861850554039
1,1,1,-1,1,1,460,0.9478854584967997,0.052114541503193446
1,1,1,1,1,1,540,0.9550243365688633,0.044975663431091696
1,1,1,1,1,1,560,0.9579823382662015,0.04201766173377264
1,1,-1,0,1,0,460,0.9572738083853348,0.04272619161463147
1,1,1,1,1,1,780,0.9475678310048185,0.05243216899514095
1,1,-1,0,0,1,820,0.9318355864631899,0.06816441353677158
1,1,1,0,1,1,580,0.9252271791590346,0.07477282084090932
1,1,-1,1,0,1,340,0.9089028561681342,0.09109714383181097
1,1,1,-1,1,1,1000,0.9015027667931328,0.09849723320681798
1,1,-1,1,0,1,340,0.8784731449053241,0.12152685509462809
1,1,-1,0,0,1,660,0.8654735800740745,0.13452641992594105
1,1,-1,-1,0,1,600,0.8626133413101941,0.13738665868981156
1,1,1,0,1,1,960,0.8702749187878359,0.1297250812121323
1,1,-1,1,0,1,300,0.8660108320953489,0.13398916790467028
1,1,-1,-1,0,1,420,0.8707561132462691,0.12924388675372037
1,1,1,0,1,1,740,0.8863296858917323,0.11367031410825301
1,1,-1,1,0,1,400,0.890097355028136,0.10990264497188466
1,1,1,0,1,1,660,0.902797356332242,0.09720264366773515
1,1,1,0,1,1,680,0.9050148889720631,0.09498511102788514
1,1,1,1,0,0,700,0.8973524618190984,0.10264753818084656
1,1,-1,0,1,0,660,0.9261175187011388,0.07388248129883127
1,1,-1,1,1,0,400,0.9377712951030028,0.06222870489700445
1,1,-1,1,0,1,400,0.9411544250170927,0.05884557498287451
1,1,1,-1,1,1,320,0.9523782829643784,0.047621717035618426
1,1,1,1,1,1,860,0.9546578708820775,0.045342129117911925
1,1,-1,0,1,0,640,0.9530065288955933,0.046993471104352924
1,1,1,1,1,1,720,0.9415403096237728,0.05845969037621607
1,1,1,0,0,0,440,0.9231709626005047,0.07682903739950617
1,1,1,-1,1,1,380,0.9379109720820382,0.062089027917913514
1,1,-1,1,0,1,900,0.941635299373544,0.05836470062642304
1,1,1,-1,1,1,840,0.9532152076646656,0.046784792335319146
1,1,1,0,1,1,340,0.9558693654981958,0.04413063450178677
1,1,-1,1,0,1,860,0.9528658840183506,0.047134115981667966
1,1,1,-1,1,1,920,0.9570561577969261,0.042943842203089264
1,1,1,1,1,1,940,0.9535967797161492,0.04640322028383101
1,1,-1,0,0,1,960,0.9457768164711311,0.054223183528831695
1,1,1,-1,1,1,380,0.9460324187185095,0.05396758128146232
1,1,-1,1,0,1,760,0.9370296703467854,0.06297032965322345
1,1,-1,0,0,1,640,0.9358310416650759,0.06416895833488315
1,1,-1,-1,0,1,560,0.9429960379952002,0.05700396200480761
1,1,-1,-1,1,0,700,0.959525686599074,0.040474313400912336
1,1,1,0,1,1,540,0.9628605570165573,0.03713944298343573
1,1,-1,1,0,1,620,0.961278964981231,0.0387210350187927
1,1,1,-1,1,1,840,0.9666136639960057,0.03338633600401029
1,1,-1,1,0,1,500,0.9655201288485342,0.034479871151485444
1,1,1,-1,1,1,720,0.9711887597784404,0.028811240221597628
1,1,-1,1,0,1,300,0.9710539272380586,0.028946072761985967
1,1,-1,0,1,0,880,0.9774801611352221,0.022519838864834055
1,1,-1,1,1,0,380,0.9783380795911115,0.021661920408942017
1,1,1,1,1,1,440,0.9761150771266162,0.023884922873402166
1,1,-1,0,0,1,860,0.9718535949592818,0.028146405040772645
1,1,1,-1,1,1,520,0.9744589447114358,0.0255410552886141
1,1,1,1,1,1,900,0.9719502309519197,0.028049769048094607
1,1,1,0,1,1,540,0.9669079889974145,0.03309201100257763
1,1,-1,1,0,1,500,0.9565301053950207,0.04346989460492982
