ID,block,theta,prev_resp,resp,correct,isi_ms,Gl_Prob_State_ext,Gl_Prob_State_int
1,1,-1,0,0,1,640,0.9999999858204093,1.417964693368338e-08
1,1,1,-1,1,1,100,0.9999991177436894,8.822563597461047e-07
1,1,-1,1,0,1,920,0.9999982798620992,1.7201379267389926e-06
1,1,1,-1,1,1,620,0.9999973315317808,2.6684682599109345e-06
1,1,1,1,1,1,440,0.9999961135692308,3.886430820478712e-06
1,1,1,1,1,1,580,0.9999952299733729,4.770026661667945e-06
1,1,-1,1,0,1,680,0.9999946723049602,5.32769505296423e-06
1,1,-1,-1,0,1,820,0.9999936236671163,6.376332917110579e-06
1,1,1,-1,1,1,460,0.9999928617451249,7.13825488414401e-06
1,1,-1,1,0,1,680,0.9999914199416678,8.580058340116647e-06
1,1,-1,-1,0,1,1000,0.9999890562405357,1.0943759443836907e-05
1,1,-1,-1,0,1,1000,0.9999868463347584,1.3153665264646081e-05
1,1,-1,-1,0,1,360,0.9999847691172213,1.5230882727100652e-05
1,1,1,-1,0,0,800,0.999982804748517,1.719525144240059e-05
1,1,1,-1,1,1,280,0.9999839341166084,1.606588337188695e-05
1,1,1,1,1,1,880,0.9999838707760969,1.6129223898762107e-05
1,1,1,1,1,1,760,0.9999839540222857,1.6045977750257077e-05
1,1,-1,1,0,1,40,0.9999841846502107,1.5815349838105672e-05
1,1,-1,-1,1,0,240,0.9999832434223106,1.6756577694093256e-05
1,1,1,1,1,1,300,0.9999840965643173,1.5903435693442777e-05
1,1,-1,1,0,1,60,0.9999850895198726,1.491048013241575e-05
1,1,1,-1,1,1,600,0.999984957810073,1.5042189956020038e-05
1,1,-1,1,0,1,980,0.9999836793264758,1.6320673521291652e-05
1,1,1,-1,1,1,460,0.9999810394673575,1.8960532673085997e-05
1,1,1,1,1,1,540,0.9999765951149854,2.340488507010403e-05
1,1,1,1,1,1,560,0.9999720472745252,2.795272543669767e-05
1,1,-1,1,1,0,40,0.9999673525095202,3.264749043094939e-05
1,1,-1,1,1,0,460,0.999966964658693,3.303534125365415e-05
1,1,1,1,1,1,780,0.9999707565141536,2.9243485846701535e-05
1,1,1,1,1,1,20,0.9999744423435942,2.5557656355925956e-05
1,1,-1,1,0,1,820,0.9999780573508135,2.1942649233612452e-05
1,1,-1,-1,1,0,220,0.9999799209656628,2.0079034374532313e-05
1,1,1,1,1,1,580,0.9999839271506731,1.6072849275409436e-05
1,1,-1,1,0,1,340,0.999987925906472,1.2074093552219926e-05
1,1,1,-1,1,1,1000,0.9999904842428855,9.51575711866204e-06
1,1,-1,1,0,1,340,0.999992031593508,7.968406438544112e-06
1,1,1,-1,1,1,240,0.9999928276913858,7.172308559789896e-06
1,1,-1,1,0,1,660,0.9999930061667471,6.993833236299625e-06
1,1,-1,-1,0,1,600,0.9999925969777945,7.403022215400949e-06
1,1,-1,-1,0,1,160,0.999992467491045,7.532508923736225e-06
1,1,1,-1,1,1,960,0.9999926164699409,7.383530095536606e-06
1,1,-1,1,0,1,300,0.9999921453485674,7.854651475590754e-06
1,1,-1,-1,0,1,420,0.9999909750461281,9.024953874986194e-06
1,1,-1,-1,1,0,0,0.9999900397763571,9.960223664122123e-06
1,1,1,1,1,1,740,0.9999906181675571,9.38183239531007e-06
1,1,-1,1,0,1,400,0.9999914347861995,8.565213754648224e-06
1,1,1,-1,1,1,180,0.999991528977898,8.471022120492242e-06
1,1,-1,1,0,1,80,0.9999909165531882,9.083446809768772e-06
1,1,1,-1,1,1,660,0.9999894947126651,1.050528732004334e-05
1,1,-1,1,0,1,20,0.9999870247910899,1.2975208898862015e-05
1,1,-1,-1,0,1,160,0.9999830921958961,1.690780406963329e-05
1,1,1,-1,1,1,240,0.9999791485792249,2.0851420743405432e-05
1,1,1,1,1,1,680,0.9999729204928536,2.707950713708963e-05
1,1,1,1,0,0,700,0.9999664330834499,3.3566916545605535e-05
1,1,-1,-1,0,1,140,0.99996276017798,3.723982202510434e-05
1,1,-1,-1,1,0,660,0.9999589189041665,4.1081095805541684e-05
1,1,-1,1,1,0,400,0.9999576952949785,4.2304705043568267e-05
1,1,-1,1,0,1,400,0.9999610301611324,3.8969838862407894e-05
1,1,1,-1,1,1,320,0.9999620751669726,3.7924832996608944e-05
1,1,1,1,1,1,860,0.9999610057236213,3.899427636325476e-05
1,1,1,1,1,1,260,0.9999598426466647,4.0157353301393324e-05
1,1,-1,1,1,0,640,0.9999585748275256,4.1425172418899705e-05
1,1,1,1,1,1,720,0.9999618193493767,3.818065062565869e-05
1,1,1,1,1,1,80,0.9999649153296368,3.508467038996237e-05
1,1,1,1,1,1,120,0.9999678923381966,3.210766184476637e-05
1,1,1,1,0,0,440,0.9999707788086276,2.9221191427806044e-05
1,1,1,-1,1,1,380,0.9999762314921191,2.3768507826037654e-05
1,1,-1,1,0,1,900,0.9999794985663542,2.0501433690808823e-05
1,1,1,-1,1,1,840,0.999981128430741,1.8871569218049224e-05
1,1,-1,1,1,0,60,0.999981394669071,1.860533097485517e-05
1,1,-1,1,0,1,20,0.9999850601203267,1.4939879626923848e-05
1,1,1,-1,1,1,340,0.9999872392860614,1.2760713890658299e-05
1,1,-1,1,0,1,860,0.9999882979534804,1.1702046516266576e-05
1,1,1,-1,1,1,920,0.9999884138267584,1.158617324708017e-05
1,1,1,1,1,1,940,0.9999876063560073,1.2393643995501779e-05
1,1,-1,1,1,0,160,0.9999869903287371,1.3009671258481571e-05
1,1,-1,1,0,1,140,0.9999891714439523,1.0828556048357695e-05
