ID,block,theta,prev_resp,resp,correct,isi_ms,Gl_Prob_State_ext,Gl_Prob_State_int
1,1,-1,0,0,1,640,0.873623753245681,0.12637624675434728
1,1,-1,0,0,1,920,0.8715258072905777,0.12847419270945748
1,1,1,-1,1,1,620,0.878106882743772,0.12189311725626216
1,1,1,1,1,1,440,0.8710215670509006,0.12897843294909048
1,1,1,1,1,1,580,0.8544828859278774,0.1455171140721487
1,1,-1,1,0,1,680,0.8254668709553257,0.17453312904466312
1,1,-1,-1,0,1,820,0.8066518987792338,0.1933481012207296
1,1,1,-1,1,1,460,0.7990697858087245,0.20093021419122473
1,1,-1,1,0,1,680,0.7708920730179531,0.22910792698204877
1,1,-1,-1,0,1,1000,0.753033152408759,0.24696684759118745
1,1,-1,-1,0,1,1000,0.7467337514009259,0.2532662485991272
1,1,-1,-1,0,1,360,0.7513884485545632,0.2486115514454223
1,1,1,-1,0,0,800,0.7674445964751393,0.23255540352491405
1,1,1,-1,1,1,280,0.8604921591611249,0.13950784083890735
1,1,1,1,1,1,880,0.9086101837097944,0.09138981629015094
1,1,1,1,1,1,760,0.9402427993446223,0.059757200655411874
1,1,-1,0,1,0,240,0.9611737822917836,0.03882621770818053
1,1,1,1,1,1,300,0.9698531394142833,0.030146860585685265
1,1,1,0,1,1,600,0.9750537311779212,0.024946268822024487
1,1,-1,1,0,1,980,0.976522304537239,0.023477695462712878
1,1,1,-1,1,1,460,0.983294253042198,0.01670574695777964
1,1,1,1,1,1,540,0.9858705779439251,0.014129422056048304
1,1,1,1,1,1,560,0.987323201646632,0.012676798353377896
1,1,-1,0,1,0,460,0.9879177250266845,0.012082274973301752
1,1,1,1,1,1,780,0.9851350964349641,0.014864903565070125
1,1,-1,0,0,1,820,0.9809606217544925,0.019039378245541163
1,1,-1,-1,1,0,220,0.9821254551003252,0.017874544899657802
1,1,1,1,1,1,580,0.9765790224835508,0.023420977516467427
1,1,-1,1,0,1,340,0.9681049593173816,0.031895040682580186
1,1,1,-1,1,1,1000,0.9653962304074819,0.034603769592462974
1,1,-1,1,0,1,340,0.9556040817162198,0.044395918283825574
1,1,1,-1,1,1,240,0.9520772816325128,0.04792271836750606
1,1,-1,1,0,1,660,0.9395941897713133,0.06040581022868833
1,1,-1,-1,0,1,600,0.934016815617743,0.06598318438230677
1,1,1,0,1,1,960,0.9362941804193192,0.06370581958072943
1,1,-1,1,0,1,300,0.9314128496879976,0.06858715031205494
1,1,-1,-1,0,1,420,0.9331551743334747,0.06684482566656264
1,1,1,0,1,1,740,0.9430227170857453,0.05697728291430537
1,1,-1,1,0,1,400,0.9457188982556004,0.05428110174443923
1,1,1,0,1,1,660,0.9548907930628715,0.045109206937131545
1,1,1,0,1,1,240,0.9578752186829779,0.04212478131703171
1,1,1,1,1,1,680,0.955523423649742,0.04447657635029016
1,1,1,1,0,0,700,0.9489936318615576,0.051006368138429584
1,1,-1,0,1,0,660,0.9640132178125351,0.03598678218751593
1,1,-1,1,1,0,400,0.9691820688851134,0.030817931114904287
1,1,-1,1,0,1,400,0.9695718725479462,0.0304281274520623
1,1,1,-1,1,1,320,0.975492581058224,0.024507418941810993
1,1,1,1,1,1,860,0.9762701076822429,0.023729892317715967
1,1,1,1,1,1,260,0.9749061534652952,0.0250938465347485
1,1,-1,1,1,0,640,0.9711513300522159,0.028848669947805917
1,1,1,1,1,1,720,0.9622017554170516,0.03779824458299932
1,1,1,0,0,0,440,0.9481828010615546,0.05181719893848828
1,1,1,-1,1,1,380,0.9575267883579679,0.0424732116420524
1,1,-1,1,0,1,900,0.9590835249711431,0.04091647502885673
1,1,1,-1,1,1,840,0.9666304488464299,0.03336955115358285
1,1,1,0,1,1,340,0.9676702524059602,0.03232974759402955
1,1,-1,1,0,1,860,0.9643358171394949,0.03566418286045297
1,1,1,-1,1,1,920,0.9666497490648225,0.033350250935124545
1,1,1,1,1,1,940,0.9628494282478235,0.03715057175217992
1,1,-1,0,0,1,960,0.9552401224859907,0.044759877513954584
1,1,1,-1,1,1,380,0.954349390767193,0.04565060923279925
1,1,-1,1,0,1,760,0.9454378807247871,0.05456211927520326
1,1,-1,0,0,1,640,0.9429903499042205,0.05700965009575242
1,1,-1,-1,0,1,560,0.9475474881576705,0.05245251184230802
1,1,-1,-1,1,0,700,0.9600666902564597,0.03993330974355552
1,1,-1,1,0,1,200,0.9605056604438121,0.03949433955623539
1,1,1,-1,1,1,540,0.9668172847859889,0.0331827152140305
1,1,-1,1,0,1,620,0.9668276828001771,0.03317231719977121
1,1,1,-1,1,1,840,0.9724578645702103,0.027542135429747854
1,1,-1,1,0,1,500,0.9725799820025993,0.02742001799735363
1,1,1,-1,1,1,720,0.97809180077205,0.021908199227938047
1,1,-1,1,0,1,300,0.9788877829928769,0.02111221700715886
1,1,-1,0,1,0,880,0.9848211649825894,0.015178835017433404
1,1,-1,1,1,0,380,0.9862271122600059,0.013772887740022765
1,1,1,1,1,1,440,0.9854293428840945,0.01457065711587624
1,1,-1,0,0,1,860,0.9835005570974955,0.016499442902526574
1,1,1,-1,1,1,520,0.9867165726934697,0.01328342730652431
1,1,1,1,1,1,900,0.9869584178677705,0.013041582132176292
1,1,1,1,1,1,260,0.9863160141602757,0.013683985839728836
1,1,1,1,1,1,540,0.9846719030801009,0.015328096919948863
1,1,-1,1,0,1,500,0.98172547178223,0.018274528217790652
1,1,1,-1,1,1,880,0.9836495316282549,0.016350468371699897
1,1,1,1,1,1,800,0.9820935947082834,0.01790640529169611
1,1,1,1,1,1,200,0.9789213962091076,0.021078603790888172
